# Pathway	A001_0_h_CD_1	A002_2XSw_0_h_C	A004_2XSw_0_h_C	A005_2XSw_0_h_CD	A006_2XSw_0_h_C	A007_0_h_CD_1	A011_0_h_CD_1	A020_2XSw_0_h_CD	A_302	A_311	A_312	A_413	A_416	A_419	A_422	A_423	A_425	A_455	BM	BS	C1_A301_Stool_0h	C2_A304_stool	CR	CS	CU_fresh	Coded	DA_fresh	HP	HY_fresh	LDC1	LDC6	LDC7	NE	S3_309_0h	S5_363_0h	SH_002	SH_007	SH_011	SH_012	SH_013	SH_014	SH_015	SH_016	SH_017	SH_021	SH_022	SH_023	SH_024	SH_025	SH_028	SH_029	SH_031	SH_032	SH_033	SH_034	SH_038	SH_039	SH_042	SH_043	SH_044	SH_045	SH_047	SH_050	SH_051	SH_053	SH_054	SH_055	SH_057	SH_058	SH_059	SH_060	SH_061	SH_062	SH_063	SH_064	SH_065	SH_066	SH_068	SH_069	SH_070	SH_071	SH_072	SH_073	SH_077	SH_078	SH_079	SH_080	SH_082	SH_083	SH_084	SH_085	SH_086	SH_087	SH_089	SH_090	SH_091	SH_093	SH_094	SH_095	SH_096	SH_097	SH_099	SH_100	SH_102	SH_103	SH_104	SH_105	SH_106	SH_107	SH_108	SH_109	SH_110	SH_111	SH_112	SH_113	SH_114	SH_117	SH_118	SH_119	SH_122	SH_123	SH_124	SH_125	SH_127	SH_129	SH_133	SH_134	SH_136	SH_137	SH_138	SH_141	SH_142	SH_143	SH_144	SH_146	SH_148	SH_149	SH_150	SH_151	SH_152	SH_153	SH_154	SH_160	SH_162	SH_164	SH_166	SH_179	SH_181	SH_189	SH_191	SH_193	SH_194	SH_195	SH_198	SH_199	SH_200	SH_201	SH_203	SH_204	SH_205	SH_206	SH_207	SH_208	SH_209	SH_210	SH_211	SH_212	SH_214	SH_215	SH_216	SH_217	SH_227	SH_228	SH_230	SH_231	SH_232	SH_234	SH_235	SH_236	SH_237	SH_238	SH_239	SH_240	SH_241	SH_242	SH_243	SH_245	SH_247	SH_248	SH_250	SH_251	SH_252	SH_253	SH_500	SH_501	SH_502	SH_503
PWY-5055: nicotinate degradation III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.5186e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.21986e-05	0	0	0	0	0	6.18471e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09602e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5067: glycogen biosynthesis II (from UDP-D-Glucose)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64829e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96393e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5079: L-phenylalanine degradation III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13563e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5080: very long chain fatty acid biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00048328	0	0	0	0	0	0	1.03903e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5088: L-glutamate degradation VIII (to propanoate)	0	0	0	0	0	1.19924e-05	6.46649e-06	0.000165376	0	0	0	0	0	0	0	0	0	0	0	0	0	7.45787e-05	0	0	1.28532e-05	0	0	0	0	0	0	0	0	0	0	1.70191e-05	0	0	0	0	0	1.61878e-05	0	0	0.000192246	0	0	0	0.000329319	0	0	0	0	0	2.98765e-05	3.95698e-05	0	1.19432e-05	0	1.75374e-05	0.000306585	3.25075e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.38697e-05	0	0	0	0	0	0	0	0	0	0	6.2131e-05	0	0	0	0	0	0	0	0	0	0	0	7.97695e-05	0	0	0	0	8.97827e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5219e-05	7.99156e-05	0	0	0	0	0.000162175	0	0	0	1.11284e-05	0	0	0	0	0	2.50653e-05	0	0	0	0	0	0.000189043	0	0	0	0	0	0	9.02098e-05	0	0	0	0	0	0	0	0	0	0	9.00959e-05	0	0	0	0	0	3.09427e-05	0	0	0	0	0	0	0.000195201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.21053e-06	9.1224e-06	0	0.0001216	0	7.35858e-05	0	0	0	0	0	0.000168238	1.41243e-05
PWY-5097: L-lysine biosynthesis VI	0.00968106	0.0116662	0.0102612	0.00592867	0.0108113	0.00643534	0.00430766	0.00681956	0.0100487	0.0104692	0.0105008	0.0111174	0.00987578	0.0108757	0.0101948	0.00765985	0.0101519	0.0114315	0.00980194	0.0102827	0.0115818	0.00820154	0.010903	0.00985587	0.0102383	0.00930802	0.00976995	0.0095996	0.0114957	0.00986112	0.00630005	0.00955664	0.0136757	0.0119784	0.00916451	0.0053519	0.010927	0.011291	0.00948328	0.00862824	0.0102507	0.00948731	0.00842445	0.00732347	0.00498054	0.00971898	0.00988683	0.00830261	0.00487673	0.00904539	0.0113122	0.0101235	0.0100746	0.00976727	0.0059036	0.00803782	0.0109048	0.00820621	0.0104936	0.0104246	0.0064519	0.00823778	0.0108056	0.00931273	0.003439	0.010041	0.0106261	0.0109528	0.00978367	0.016625	0.00841961	0.00586958	0.0126875	0.00881402	0.0139824	0.0103685	0.0124418	0.008427	0.0118547	0.0076147	0.0106505	0.00690964	0.00902478	0.00963845	0.0116788	0.00971176	0	0.0112456	0.00963994	0.0105319	0.00953248	0.00876884	0.00982422	0.0101572	0.00931199	0.00847221	0.00798116	0.00781966	0.011785	0.00990694	0.0100662	0.0104068	0.00887312	0.0108999	0.00879912	0.0115505	0.00997225	0.0104919	0.0138895	0.00915588	0.0102754	0.00963219	0.0109583	0.00804532	0.0105546	0.00827497	0.00817289	0.00905964	0.0095853	0.017894	0.00947916	0.00901768	0.00663439	0.00941646	0.0109992	0.00962056	0.00622806	0.0123296	0.00959857	0.00853448	0.00989212	0.00498114	0.00902024	0.0100708	0.00846696	0.0122967	0.00791868	0.00733215	0.00770088	0.0114087	0.00868057	0.00886266	0.00916598	0.00983322	0.0115217	0.00672822	0.0100579	0	0.00973555	0.0113496	0.00720416	0.0123465	0.0106467	0.00930346	0.0111583	0.0115208	0.00462348	0.00755374	0.00876591	0.0110782	0.00970371	0.00913477	0.006672	0.0112343	0.00578847	0.00897663	0.00991321	0.00931936	0.00955252	0.00513379	0.0102932	0.00942875	0.0101557	0.00939522	0.00807326	0.00888495	0.00973108	0.0107287	0.0102942	0.00998494	0.0103475	0.00739261	0.0111415	0.00749557	0.011422	0.00979546	0.00900466	0.00834187	0.00908211	0.00646098	0	0.00936743	0.00992994	0.0119549	0.0110991	0.00735393	0.00876436
PWY-5100: pyruvate fermentation to acetate and lactate II	0.00655524	0.00688986	0.00599808	0.00405382	0.00471783	0.00311619	0.00281277	0.00302087	0.00307908	0.00355909	0.00393269	0.00236879	0.0013348	0.00614785	0.00539368	0.0025637	0.00359559	0.00601004	0.00357122	0.00334697	0.00499731	0.00444805	0.00188435	0.00436211	0.00487052	0.00737194	0.00564746	0.00385146	0.00552553	0.00562522	0.00489904	0.00317938	0.00197011	0.00460506	0.00359958	0.00340011	0.00244965	0.00248214	0.0017546	0.00342638	0.00484411	0.00154909	0.00256063	0.00686433	0.00229664	0.00242873	0.0026323	0.00209437	0.00218691	0.00398056	0.00146013	0.00247432	0.00612845	0.00522075	0.00285869	0.00288535	0.00249443	0.00328709	0.00320358	0.00189087	0.00198568	0.00182706	0.00199932	0.00109922	0.00214821	0.00283175	0.00355272	0.00145761	0.00211735	0.00109659	0.00287515	0.00205759	0.00081462	0.0010359	0.00178146	0.00226698	0.00133883	0.00245773	0.000790816	0.00100633	0.00440512	0.00393932	0.00116251	0.00249675	0.0017319	0.00281352	0	0.00353011	0.00340126	0.00323303	0.00268274	0.00323515	0.0036874	0.00720798	0.00213508	0.0020907	0.00281121	0.00333679	0.00286336	0.00241105	0.00288149	0.00337888	0.00169503	0.00303818	0.0027648	0.00142182	0.00227411	0.00129885	0.00357568	0.00258534	0.00614723	0.00174782	0.00341747	0.00318487	0.00585196	0.00343033	0.00307661	0.00352516	0.00277451	0	0.000884054	0.00292436	0.00150491	0.0043527	0.00487317	0.00465787	0.00268237	0.00513828	0.0032579	0.000847929	0.0016403	0.00124708	0.0039074	0.00340453	0.00275851	0.0019271	0.00329661	0.00184493	0.00251835	0.00349123	0.00199825	0.00243022	0.00289804	0.00258056	0.00400761	0.00152385	0.0027842	0	0.00559998	0.00380675	0.0105399	0.00478117	0.0017939	0.00518437	0.00208271	0.00193788	0.0023579	0.000753985	0.00594248	0.00320827	0.00499729	0.00557499	0.00100511	0.00426643	0.00424243	0.00140018	0.00183734	0.00479778	0.0050233	0.00341598	0.00578103	0.00338858	0.00550859	0.00326074	0.00371312	0.00311547	0.00661555	0.00543286	0.00384045	0.00687254	0.00592091	0.00360651	0.00444429	0.00124674	0.00171119	0.00376904	0.00154411	0.00345882	0.00342336	0.00281461	0	0.00184874	0.00223217	0.00410646	0.00721138	0.00140651	0.0026216
PWY-5101: L-isoleucine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.42347e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III	0.0093354	0.0126203	0.0116179	0.00652298	0.0126995	0.00685608	0.00717722	0.00848422	0.01181	0.0153562	0.0100394	0.00828071	0.00834649	0.0138096	0.00829995	0.0104496	0.0114856	0.0101411	0.00957768	0.0147299	0.00902492	0.00875332	0.00598574	0.00825391	0.00862669	0.0108289	0.00795478	0.00871219	0.0122012	0.0113204	0.00707332	0.00472156	0.0177038	0.0143295	0.00760539	0.00734074	0.0105658	0.0139697	0.00713187	0.00822505	0.00781023	0.00798216	0.00553128	0.0115671	0.00565232	0.00527269	0.0108986	0.00489025	0.00702654	0.00811158	0.00664441	0.00702777	0.00965813	0.00877201	0.00577384	0.00786936	0.00514009	0.00784442	0.012625	0.00666921	0.00568958	0.00634776	0.0052815	0.00744722	0.00773753	0.00919061	0.00804079	0.00650838	0.00719639	0.00689948	0.00586949	0.00740006	0.00803634	0.00683174	0.00537133	0.00676392	0.0170253	0.00828677	0.0168525	0.00781877	0.0174376	0.00737832	0.00701393	0.00929279	0.00614831	0.0104264	0	0.0073977	0.00598309	0.00757671	0.00856481	0.00623153	0.00753378	0.0149539	0.0113064	0.00747301	0.00816621	0.0089888	0.00862768	0.00858663	0.00865425	0.00739663	0.00600568	0.00731218	0.00529333	0.00775853	0.00908191	0.0119526	0.013976	0.00718167	0.00883284	0.00794298	0.00765207	0.00787663	0.00876331	0.00763347	0.00854202	0.00649476	0.00957575	0.0121632	0.00816288	0.00781331	0.00590626	0.00761599	0.00875139	0.00883321	0.00582236	0.0060699	0.0123667	0.00848855	0.00606705	0.0065771	0.00890667	0.00528061	0.00648239	0.0159916	0.0083508	0.00872495	0.00723067	0.00656559	0.00658231	0.00713976	0.00972637	0.0110958	0.00803848	0.00490745	0.00459602	0	0.00731291	0.0114896	0.0144122	0.00885104	0.00728415	0.0074711	0.00741387	0.00975886	0.00471819	0.00835155	0.00906849	0.0119923	0.00921438	0.00738733	0.00587888	0.00971173	0.0067459	0.00955091	0.00743093	0.00714266	0.0091854	0.00610504	0.00871615	0.00801943	0.013754	0.00689493	0.00882685	0.00685795	0.00911149	0.00995808	0.0105568	0.00963301	0.00888058	0.00624431	0.0114511	0.00797653	0.00480686	0.00793792	0.00639525	0.00696264	0.00834365	0.00807946	0	0.00665581	0.00924084	0.00614801	0.0130552	0.00662731	0.00601885
PWY-5104: L-isoleucine biosynthesis IV	4.60019e-05	3.18698e-05	3.06248e-05	0.000337847	8.80112e-06	0.00120148	0	0.000344311	0.000161719	0	1.11697e-05	0	0	3.64951e-05	0	0.000681069	0	0	0	0	1.03866e-05	0.000244738	0	1.16965e-05	0.000174962	0	5.73423e-05	0.000161068	1.7529e-05	0	0.000692344	0.000508519	0	0	0	0.0012169	6.57658e-05	0	0.000202148	1.55638e-05	0.00025247	0.000262941	0.000232566	0	0.000543846	0	0	0.000207358	0.00117844	0.000101966	2.20516e-05	0	0	0	0.00138412	0.000766626	3.28413e-05	0.000926459	0	3.00945e-05	0.00149636	0.000783244	2.4472e-05	4.3294e-05	0	0	4.75711e-05	7.62458e-05	0.000108923	0	0.000153636	0.00189897	0	0.000127723	4.12008e-05	0	0	0.00057517	2.96398e-05	0.000859994	0	0.00107131	0.000345946	0	0.00022905	0.000319995	0	0	2.63791e-05	1.41309e-05	2.00001e-05	0.000415817	0.000115567	3.73965e-05	0	0	0.000126048	0.00106341	0	0	0	0.00016643	0.000529306	0	0	0	0.000121041	0	0	0.000112341	4.46888e-05	1.77748e-05	0	0.000372132	0.000235055	0.000900834	0.0011223	0.000333537	1.94603e-05	0	5.07936e-05	4.03231e-05	0.00126097	5.28165e-06	1.05295e-05	0.000234152	0.00128239	1.37121e-05	1.03964e-05	0	4.60284e-05	0.00167163	0.00034552	0.00016967	4.39732e-05	0	0.000738934	0.0010268	0.000661096	3.24987e-05	0.000102379	0.000342326	0.000671342	0.000102684	0.00044112	0.00144748	0	0	0.000168772	0	0	0	0	0	8.0722e-05	6.2466e-05	0.00204202	8.87637e-05	0.000124454	0	0	5.13102e-05	0.00136449	0	0.000189523	0.000258991	0	0.000369952	0	0.00110183	2.53972e-05	0	0	0.000115197	0.000574042	2.05819e-05	4.03116e-05	8.36583e-05	0.000127391	6.12265e-05	8.63617e-05	0.000736902	0	0.000940013	0	0.000155392	4.23909e-05	0.000755732	8.56656e-05	0.00100037	0	0.000162296	2.06644e-05	3.23023e-05	1.75701e-05	0.000867811	0
PWY-5109: propanoate fermentation to 2-methylbutanoate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.59284e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.00299256	0.000795211	0.00270066	0.00203638	0.00162974	0.00223335	0.00167293	0.00387923	0.00136857	0.0017274	0.000966525	0.00244659	0.0037809	0.000247115	0.00286834	0.00206551	0.000340679	0.00172108	0.00345894	0.000702988	0.000563364	0.00258466	0.00306846	0.0019481	0.00106167	0.00224139	0.00264397	0.00193664	0.00214239	0.00179265	0.00305938	0.00174545	0.00144131	0.00112612	0.00245959	0.00239429	0.00313041	0.000597473	0.00269217	0.00435617	0.00114187	0.00342689	0.00513167	0.00392652	0.00174962	0.0047256	0.00238502	0.00516657	0.00166648	0.0040956	0.000950493	0.00155023	0	0.000293444	0.00308211	0.00322762	0.00219412	0.00226507	0.00177965	0.00226252	0.00333257	0.00518181	0.00182727	0.00535917	0.00114891	0.000804547	0.00170252	0.00212693	0.00269386	0.00139526	0.00396263	0.00329554	0.00720681	0.00393675	0.00144784	0.00305352	0.00314353	0.00319081	0.00253067	0.00295062	0.00148598	0.00249683	0.0043963	0.000340671	0.00238115	0.000534788	0	0.00187829	0.00410405	0.00200466	0.00394077	0.00205551	0.00259232	0.000604407	0.00331298	0.00323933	0.00303129	0.00172083	0.00223295	0.00144616	0.00491593	0.0015128	0.00544296	0.00250295	0.00326234	0.00199755	0.00231451	0.00294285	0.00132511	0.00346233	0.00201924	0.00413373	0.00249464	0.00251615	0.00272079	0.00397098	0.00334056	0.00363767	0.00330305	0.0075563	0.00344112	0.00369344	0.0023545	0.00316644	0.000691788	0.00211317	0.00232986	0.00234494	0.00139267	0.000640558	0.00184345	0.00225706	0.00266318	0.00301893	0.00460694	0.00106162	0.00340068	0.00201897	0.00353262	0.00247044	0.00543796	0.00341783	0.00225172	0.00369667	0.00121932	0.00242824	0.00557064	0	0.00206256	0.00136942	0.00212793	0.00105957	0.00329787	0.00445898	0.00139527	0.00119673	0.00312239	0.000588235	0.00027774	0.00427425	0.00479166	0.00509534	0.00395473	0.00158121	0.000601132	0.00353456	0.00354563	0.00219293	0.0029179	0.00317269	0.00186553	0.00386894	0.00162932	0.00449731	0.000971664	0.00605578	0.0020544	0.00152344	0.00162821	0.0018307	0.00174577	0.00199703	0.00144928	0.00192443	0.00282796	0.00175974	0.00503704	0.00283549	0.00334062	0.00261113	0	0.00257297	0.00253085	0.00128793	0.000517247	0.00380554	0.00375302
PWY-5129: sphingolipid biosynthesis (plants)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.74971e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5130: 2-oxobutanoate degradation I	0.000160866	6.17291e-05	0.000338004	0.000230266	0.000297776	0.00016577	2.03528e-06	0.00124345	0.000524815	0.000292872	0.000372364	0.00128613	0.00211023	0.000311259	0.000292812	0.000836753	5.57739e-05	0.000295933	0.000522682	0.000103823	0.000818698	0.000653577	0.000322556	9.46157e-05	0.000314246	7.16625e-05	0.000224766	0.000385229	8.72564e-05	0.000389773	0	0	0.000221072	0.000754023	0.000449618	8.09082e-05	0.000421097	0.000135977	0.000649289	0.00092508	0	0.00147085	0.000421831	0	0.00038276	0.000396434	0.00101348	0.000246714	0.000591405	0.000272196	0.000445751	0.00010149	0.000157996	0.000126675	9.35677e-05	0.000629592	0.000159973	0.000762107	5.67798e-05	0.000753284	0.000181957	8.3133e-05	0.000468689	0.000937843	0	0.000437143	0.000176791	0.000321577	0.00105988	0.000386643	0.000334566	0.000129112	0.00100444	7.53199e-05	0.000652038	0.000168416	0.000311339	0.000730576	0.000228777	0	0.000361958	0.000504067	0.00134493	0.000417934	0.00105122	0.000923473	0	0.000362379	0.000184309	5.83606e-05	0.000471704	4.50635e-05	0.000133122	5.55189e-05	0	0.000104086	0	0.00224785	0.000398688	0.00196006	0	0.000785935	0.000134422	0.000894055	0.000229047	0.000331847	0.000731819	0	0.00013088	0.000854188	6.51037e-05	0.000254932	0.000260103	9.87174e-05	0.000293984	0.000505674	0.000180772	0.000134615	0.000340965	0	0.000278964	0.00063151	0.000414651	0.000389453	5.6765e-05	7.83102e-05	0.000147879	0.000329742	0.00115411	0.000307031	0.000934277	2.58509e-05	0.00106234	0	7.42445e-05	0.000552404	0.000347493	0.000143469	0.000258947	0.00107377	0.00062627	0.000331349	0.00072768	0.000420762	7.11303e-05	0.000511307	3.79741e-05	0	0.000428101	0.000387333	0	0	0.000345483	0.00015569	0.000111298	0.000467318	0.000216637	0.00151827	0.000333935	0.000985931	0	0.000355792	0.00022129	0.000546737	9.05944e-05	0.00121285	0.000859318	0.000217354	0.000617787	9.27692e-05	0.000158883	9.67678e-05	0.000154248	0.000371676	0.000247629	8.50359e-05	0.000586348	0.000260528	6.3978e-05	9.37848e-05	4.84575e-05	0.000219725	0.000461109	0.000851026	0.000191985	0.000461261	0	0.000271447	0.000984185	0.000534272	0	0.000812563	0.00108617	0.000687383	0.000115075	0.00025853	0.000273332
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0.00077281	0.000103542	0.000199476	0.00408408	0.000230063	0.00306046	0.00626391	0.00164724	0.00109597	0.000292747	0.000194195	3.12094e-05	0	0	1.37446e-05	0.00203465	9.75014e-05	0.00016575	0.000263942	2.89542e-05	0.000289559	0.00103603	7.93114e-05	0.000105309	0.000339705	0.000162958	0.00063673	0.000301149	5.59477e-05	0.000461822	0.00216901	0.000930963	9.26231e-05	0.000177817	0.000259778	0.00415335	0.000111673	4.20224e-05	0.000333649	0.000774306	0.000759337	0.000784144	0.00119216	0.000236364	0.00566347	0.000137888	0.000176531	0.000531345	0.00340307	0.000703522	0.000214023	0.000180865	0.000269956	0.000264921	0.00351627	0.00178052	9.58787e-05	0.00180209	0.000591771	0.000640236	0.00307342	0.00112414	0.000246186	0.000572808	0.00857983	0.000237196	0.00138709	0.000519438	0.000861697	0	0.000526077	0.0028121	0	0.000181367	0.000622167	0.000135669	0.000241317	0.00185634	0.000448471	0.00169135	0	0.0026422	0.000736857	0.00053075	0.000655664	0.00079758	0	0.000319414	0.000822021	0.000182074	0.000717187	0.00150097	0.000529623	0.000553413	0.000541904	0.000354794	0.0019799	0.00149084	6.49477e-05	0.000139116	0.000418636	0.000986747	0.00139881	0.000123375	0.00142654	0.00188284	0.00111764	0.000382431	0.000172679	0.0007256	0.00122917	0.000572543	0	0.00102867	0.00128563	0.00173997	0.00126856	0.00151445	0.000712177	0	0.00106762	0.000384058	0.00306629	0.0013841	0.000141661	0.000493428	0.00447745	0.000269861	0.000833135	0.00471994	0.00024037	0.0026823	0.00104569	0.000851954	0.00113164	3.59894e-05	0.00203887	0.00259047	0.00228389	3.70571e-05	0.000322527	0.00100524	0.00149456	0.000549042	0.000519208	0.00326356	0.00033439	0	0.00148567	0.000241488	0.000205608	0.00030316	8.89115e-05	9.65977e-05	0.000345803	0.000219548	0.00349739	0.00168816	0.000605073	0.000415702	0	0.000982191	0.00252552	0.000263563	0.00474373	0.000450475	0.000155201	0.000728764	0.000478048	0.0031201	0.000497726	0.000113512	0.000318649	0.000592883	0.00120445	0.000693448	0.000194975	0.000332337	0.000466042	0.000198823	0.000287465	0.00275286	0.000131928	0.0022988	0.000667861	0.000549713	0.000220621	0.00127445	0.000377742	0.00174025	0	0.000366163	0.000157106	0.000177228	0.000147746	0.00204838	0.000910692
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	8.65332e-06	1.88363e-05	0	0.000839391	0	0.000520134	0.00125859	0.000223584	0.000416938	0	0	0	0	0	1.10948e-05	0.000326739	0	0	0	0	6.6989e-06	0.00019106	0	2.20414e-05	3.30272e-05	0	0	9.54007e-05	0	0	0.000675024	0.000370575	6.23041e-06	3.11155e-05	0	0.000474481	6.67477e-05	0	0.000112871	1.1244e-05	0.000266761	0.000180785	0.00016922	0	0.000942335	0	0	8.21851e-05	0.00148984	0	0	0.000117519	0	0	0.000951213	0.000518401	0	0.000753248	0	0.00014979	0.000808084	0.000202928	4.89162e-05	0.000135035	0.00328828	0	9.7619e-05	2.99853e-05	0.000258727	0	0.000106137	0.00105632	0	1.98423e-05	0	0	0	0.000780983	0	0	0	0.00102676	0.000193386	0	9.48634e-05	0.000171038	0	0	3.1874e-05	1.02428e-05	2.25581e-05	0.000208983	4.00415e-05	3.72323e-05	0	0	0.000123638	0.00107659	0	0	0	7.15373e-05	0.000296011	2.16826e-05	0.000635327	0.0011681	0	0	0	0.00012359	0	1.85684e-05	0	0.000322859	0.000112791	0.000350272	0.000328695	0.000505147	3.38029e-05	0	4.1403e-05	9.66057e-05	0.000958357	0	0	0.000166479	0.000536528	0	0.000252436	0.00413955	0	0.000362248	0.000323872	0.000121483	5.15624e-05	0	0.000561087	0.000609573	0.000546689	0	0.000139607	0.000180645	0.000511804	3.04423e-05	0.000202191	0.000335018	0	0	7.18022e-05	0	0	0	2.44527e-05	0	7.23605e-05	1.78013e-05	0.00100304	0.00142386	8.67881e-05	0.000274349	0	0.000107092	0.000364155	0	0.000973256	0.000223999	0	7.76261e-05	0	0.00125082	6.92725e-06	0	0	6.66196e-05	0.000408738	0	0	1.82059e-05	3.90093e-05	0	0	0.000406247	0	0.00026621	4.50277e-05	0.000107336	0	0.000332546	0.000113234	0.000636005	0	0.000121765	3.47205e-05	0	5.51793e-06	0.00038741	0.000150549
