ko	name	level1	level2	level3	_feature_id
K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	09100 Metabolism	09103 Lipid metabolism	00061 Fatty acid biosynthesis [PATH:ko00061]	K00059
K00060	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]	09100 Metabolism	09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K00060
K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	K00065
K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	09100 Metabolism	09109 Metabolism of terpenoids and polyketides	00523 Polyketide sugar unit biosynthesis [PATH:ko00523]	K00067
K00068	srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	K00068
K00073	allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	09100 Metabolism	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K00073
K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	K00074
K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00075
K00076	hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	09100 Metabolism	09103 Lipid metabolism	00121 Secondary bile acid biosynthesis [PATH:ko00121]	K00076
K00077	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00770 Pantothenate and CoA biosynthesis [PATH:ko00770]	K00077
K00087	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	09100 Metabolism	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K00087
K00088	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	09100 Metabolism	09104 Nucleotide metabolism	00230 Purine metabolism [PATH:ko00230]	K00088
K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	09100 Metabolism	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K00090
K00094	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	K00094
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	K00096
K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00750 Vitamin B6 metabolism [PATH:ko00750]	K00097
K00098	idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]	09190 Not Included in Pathway or Brite	09191 Unclassified: metabolism	99980 Enzymes with EC numbers	K00098
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	09100 Metabolism	09109 Metabolism of terpenoids and polyketides	00900 Terpenoid backbone biosynthesis [PATH:ko00900]	K00099
K00101	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	K00101
K00104	glcD; glycolate oxidase [EC:1.1.3.15]	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00104
K00108	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]	09100 Metabolism	09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K00108
K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	K00111
K00112	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	K00112
K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	K00113
K00116	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00116
K00117	gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]	09100 Metabolism	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K00117
K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00121
K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00123
K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00124
K00127	fdoI, fdsG; formate dehydrogenase subunit gamma	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00127
K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00128
K00130	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]	09100 Metabolism	09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K00130
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00131
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	09100 Metabolism	09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K00133
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00134
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	K00135
K00137	prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	09100 Metabolism	09105 Amino acid metabolism	00310 Lysine degradation [PATH:ko00310]	K00137
K00138	aldB; aldehyde dehydrogenase [EC:1.2.1.-]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00138
K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	K00140
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:ko00220]	K00145
K00146	feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]	09100 Metabolism	09105 Amino acid metabolism	00360 Phenylalanine metabolism [PATH:ko00360]	K00146
K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:ko00330]	K00147
K00156	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	K00156
K00158	E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	K00158
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00161
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00162
K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00163
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00164
K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00169
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00170
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00171
K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00172
K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00174
K00175	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00175
K00176	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00176
K00177	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00177
K00179	iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	09190 Not Included in Pathway or Brite	09191 Unclassified: metabolism	99980 Enzymes with EC numbers	K00179
K00180	iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	09190 Not Included in Pathway or Brite	09191 Unclassified: metabolism	99980 Enzymes with EC numbers	K00180
K00184	K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit	09190 Not Included in Pathway or Brite	09191 Unclassified: metabolism	99982 Energy metabolism	K00184
K00194	cdhD, acsD; acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]	09100 Metabolism	09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00194
K00196	cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	09100 Metabolism	09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00196
K00198	cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	09100 Metabolism	09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00198
K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	09100 Metabolism	09103 Lipid metabolism	00061 Fatty acid biosynthesis [PATH:ko00061]	K00208
K00209	fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	K00209
K00210	E1.3.1.12; prephenate dehydrogenase [EC:1.3.1.12]	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	K00210
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K00215
K00216	entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]	09100 Metabolism	09109 Metabolism of terpenoids and polyketides	01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]	K00216
K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	09190 Not Included in Pathway or Brite	09191 Unclassified: metabolism	99980 Enzymes with EC numbers	K00219
K00226	pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	09100 Metabolism	09104 Nucleotide metabolism	00240 Pyrimidine metabolism [PATH:ko00240]	K00226
K00228	CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]	K00228
K00230	hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]	K00230
K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00239
K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00240
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00241
K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00242
K00243	K00243; uncharacterized protein	09190 Not Included in Pathway or Brite	09194 Poorly characterized	99997 Function unknown	K00243
K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00244
K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00245
K00246	frdC; fumarate reductase subunit C	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00246
K00247	frdD; fumarate reductase subunit D	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00247
K00248	ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	K00248
K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	K00252
K00254	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]	09100 Metabolism	09104 Nucleotide metabolism	00240 Pyrimidine metabolism [PATH:ko00240]	K00254
K00259	ald; alanine dehydrogenase [EC:1.4.1.1]	09100 Metabolism	09105 Amino acid metabolism	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K00259
K00260	gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]	09100 Metabolism	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	K00260
K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	09100 Metabolism	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	K00261
K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	09100 Metabolism	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	K00262
K00265	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]	09100 Metabolism	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	K00265
K00266	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]	09100 Metabolism	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	K00266
K00275	pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00750 Vitamin B6 metabolism [PATH:ko00750]	K00275
K00276	AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]	09100 Metabolism	09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K00276
K00278	nadB; L-aspartate oxidase [EC:1.4.3.16]	09100 Metabolism	09105 Amino acid metabolism	00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K00278
K00281	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00281
K00282	gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00282
K00283	gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00283
K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]	09100 Metabolism	09105 Amino acid metabolism	00360 Phenylalanine metabolism [PATH:ko00360]	K00285
K00286	proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:ko00330]	K00286
K00287	DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	K00287
K00290	LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K00290
K00297	metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	09100 Metabolism	09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00297
K00299	ssuE; FMN reductase [EC:1.5.1.38]	09100 Metabolism	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	K00299
K00303	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]	09100 Metabolism	09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K00303
K00313	fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	09190 Not Included in Pathway or Brite	09191 Unclassified: metabolism	99980 Enzymes with EC numbers	K00313
K00322	sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00760 Nicotinate and nicotinamide metabolism [PATH:ko00760]	K00322
K00324	pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00760 Nicotinate and nicotinamide metabolism [PATH:ko00760]	K00324
K00325	pntB; H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00760 Nicotinate and nicotinamide metabolism [PATH:ko00760]	K00325
K00330	nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K00330
K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K00331
K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]	09100 Metabolism	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	K00333
