feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1.4.3.5.Pyridoxal.5..phosphate.synthase	diagnosis	Ctl	-1.74025916761727	0.409845724377452	187	182	4.22210108688365e-05	0.00389840667022257
X2.3.1.174.3.oxoadipyl.CoA.thiolase	diagnosis	Ctl	-2.87823104989395	0.690780092708687	187	126	5.83737928872094e-05	0.00529184966064775
X1.2.1.8.Betaine.aldehyde.dehydrogenase	diagnosis	Ctl	-3.40144159670237	0.81986942768329	187	137	6.20057734004087e-05	0.00542387344165681
X3.2.1.52.Beta.N.acetylhexosaminidase	diagnosis	Ctl	-0.870264549431494	0.208977288906671	187	187	6.1455529370352e-05	0.00542387344165681
X5.4.3.2.Lysine.2.3.aminomutase	diagnosis	Ctl	-1.46711797742318	0.355184762466666	187	183	6.32404297094456e-05	0.00543649625053958
X3.4.13.22.D.Ala.D.Ala.dipeptidase	diagnosis	Ctl	-0.931075582014169	0.225099286971097	187	187	6.59133759263189e-05	0.00557023885370552
X1.10.2.2.Transferred.entry.7.1.1.8	Age	Age	0.0682783616732778	0.0162402681142165	187	44	6.84074788963624e-05	0.00568466149628771
X3.4.15.5.Peptidyl.dipeptidase.Dcp	diagnosis	Ctl	-1.41323300675616	0.344734014768572	187	185	7.13049433978337e-05	0.00575615650511351
X6.1.1.16.Cysteine..tRNA.ligase	diagnosis	Ctl	0.209395136726739	0.0507555239812651	187	187	7.15767555790288e-05	0.00575615650511351
X2.7.7.22.Mannose.1.phosphate.guanylyltransferase..GDP.	diagnosis	Ctl	-1.4465942736271	0.352829470561932	187	183	7.28921856126564e-05	0.00576889583277309
X6.1.1.15.Proline..tRNA.ligase	diagnosis	Ctl	0.28518064071376	0.0691349011056146	187	187	7.66357462321121e-05	0.00597040360489548
X2.5.1.6.Methionine.adenosyltransferase	diagnosis	Ctl	0.303470544367396	0.0734796194206757	187	187	7.85417633808796e-05	0.00602475741872409
X1.4.7.1.Glutamate.synthase..ferredoxin.	diagnosis	Ctl	1.6582824848755	0.400183325601274	187	187	8.63191298951139e-05	0.00614838830938625
X2.7.1.6.Galactokinase	diagnosis	Ctl	0.820029391143671	0.202465530425802	187	187	8.59926105079424e-05	0.00614838830938625
X3.5.1.10.Formyltetrahydrofolate.deformylase	diagnosis	Ctl	-1.54047047325252	0.378932508069922	187	185	8.34010152160543e-05	0.00614838830938625
X3.5.1.96.Succinylglutamate.desuccinylase	diagnosis	Ctl	-3.4882870403795	0.858967290257496	187	108	8.57089492741641e-05	0.00614838830938625
X6.3.3.3.Dethiobiotin.synthase	diagnosis	Ctl	-0.765211510389865	0.188526800360213	187	187	8.36412122710687e-05	0.00614838830938625
X1.2.5.1.Pyruvate.dehydrogenase..quinone.	diagnosis	Ctl	-2.43480276077596	0.598439184584889	187	174	9.28350956528234e-05	0.00628914193648648
X2.4.2.8.Hypoxanthine.phosphoribosyltransferase	diagnosis	Ctl	0.28233965711796	0.0695557024144148	187	187	9.33406544925791e-05	0.00628914193648648
X2.7.1.33.Pantothenate.kinase	Age	Age	-0.012594592573573	0.0029462231991091	187	187	9.18483785196518e-05	0.00628914193648648
X3.1.3.2.Acid.phosphatase	diagnosis	Ctl	-1.14284716943391	0.28339775137235	187	187	9.3131483995626e-05	0.00628914193648648
X6.1.1.6.Lysine..tRNA.ligase	diagnosis	Ctl	0.196209970774427	0.0484291330545926	187	187	9.46143160255312e-05	0.00628995972937732
X3.4.24.55.Pitrilysin	diagnosis	Ctl	-1.70031832812957	0.42148967169836	187	183	9.78331867961198e-05	0.00641837196533491
X1.1.1.276.Serine.3.dehydrogenase..NADP....	diagnosis	Ctl	1.62121677758897	0.402516590758626	187	186	0.000102848125249867	0.00660941060436739
X3.4.11.10.Bacterial.leucyl.aminopeptidase	diagnosis	Ctl	-1.00559326542093	0.251101795103044	187	187	0.000103396315110441	0.00660941060436739
X2.4.2.14.Amidophosphoribosyltransferase	diagnosis	Ctl	0.300694999428591	0.0743253181881128	187	187	0.000107944941179169	0.0068128288192321
X2.7.1.51.L.fuculokinase	diagnosis	Ctl	-1.5781374649282	0.390389950196996	187	184	0.000109605299609497	0.00683115029816191
X1.1.1.131.Mannuronate.reductase	Age	Age	-0.061652976260502	0.0149904306384695	187	185	0.00011403766003307	0.00693583278350002
X1.3.5.1.Succinate.dehydrogenase..quinone.	diagnosis	Ctl	-0.980573600591103	0.246812546461917	187	187	0.000114067045376454	0.00693583278350002
X1.1.99.1.Choline.dehydrogenase	diagnosis	Ctl	-3.18031227396585	0.801129356460655	187	136	0.00012372982777919	0.00733144669941446
X1.18.1.3.Ferredoxin..NAD....reductase	diagnosis	Ctl	-2.63656375511097	0.663855135731771	187	169	0.000127786274947536	0.00733144669941446
X2.7.1.25.Adenylyl.sulfate.kinase	diagnosis	Ctl	-0.916286158514252	0.23108101611528	187	187	0.000124918448500297	0.00733144669941446
X2.7.1.89.Thiamine.kinase	diagnosis	Ctl	-3.00190619557828	0.756727825938253	187	140	0.000127925363587858	0.00733144669941446
X3.5.1.18.Succinyl.diaminopimelate.desuccinylase	diagnosis	Ctl	-0.889400213231354	0.223872863509726	187	187	0.000127073064694539	0.00733144669941446
X2.4.2.10.Orotate.phosphoribosyltransferase	diagnosis	Ctl	0.368542524838701	0.0919148669112596	187	187	0.00013069973851058	0.00740532836606535
X2.7.1.92.5.dehydro.2.deoxygluconokinase	diagnosis	Ctl	0.604967129245562	0.153226730295653	187	187	0.00013641048546003	0.0076420525899293
X3.1.2.28.1.4.dihydroxy.2.naphthoyl.CoA.hydrolase	diagnosis	Ctl	-2.82159427796173	0.719596360716398	187	134	0.000140114797131126	0.00767705910434939
X3.1.3.7.3..2...5..bisphosphate.nucleotidase	diagnosis	Ctl	-1.16179511632	0.296874319291437	187	185	0.000139341984096212	0.00767705910434939
X4.1.99.3.Deoxyribodipyrimidine.photo.lyase	diagnosis	Ctl	-2.86044108443626	0.726609149276207	187	136	0.000144505771859608	0.00783158454882615
X2.7.1.85.Beta.glucoside.kinase	Age	Age	-0.0436312411012208	0.0108676903217495	187	185	0.000148829305318354	0.0079791711431969
X4.2.1.12.Phosphogluconate.dehydratase	diagnosis	Ctl	-3.28590878129376	0.837324729355843	187	132	0.000150439931536951	0.00797971807067273
X1.8.99.2.Adenylyl.sulfate.reductase	diagnosis	Ctl	2.40277508384359	0.611791823184448	187	167	0.00015562782556554	0.00808292019031024
X2.4.2.45.Decaprenyl.phosphate.phosphoribosyltransferase	diagnosis	Ctl	3.37362831380377	0.853877379681965	187	54	0.000154385677146955	0.00808292019031024
X2.7.7.7.DNA.directed.DNA.polymerase	diagnosis	Ctl	0.134306266857046	0.0345064912725672	187	187	0.000158356571886501	0.00813985430336178
X2.4.2.9.Uracil.phosphoribosyltransferase	diagnosis	Ctl	0.567670797232049	0.146054217848394	187	187	0.000163529660492415	0.00831998864505286
X2.5.1.141.Heme.o.synthase	diagnosis	Ctl	-3.0699599837477	0.790473908345575	187	137	0.000167620671173564	0.00844198653001404
X2.1.1.174.23S.rRNA..guanine.1835..N.2...methyltransferase	diagnosis	Ctl	-2.91269974284014	0.748886249902644	187	142	0.000170530592751032	0.00848424043160754
X2.7.7.8.Polyribonucleotide.nucleotidyltransferase	diagnosis	Ctl	0.2948388924575	0.0752921607402951	187	187	0.000171862872762207	0.00848424043160754
X1.1.1.305.UDP.glucuronic.acid.oxidase..UDP.4.keto.hexauronic.acid.decarboxylating.	diagnosis	Ctl	-2.85479690182106	0.740423099276985	187	103	0.000180269428562537	0.00856086531100191
X2.1.2.13.UDP.4.amino.4.deoxy.L.arabinose.formyltransferase	diagnosis	Ctl	-2.85479690182106	0.740423099276985	187	103	0.000180269428562537	0.00856086531100191
X2.3.1.41.Beta.ketoacyl..acyl.carrier.protein..synthase.I	diagnosis	Ctl	-1.49264688365758	0.385939669129359	187	184	0.000176679259534993	0.00856086531100191
X2.7.4.3.Adenylate.kinase	diagnosis	Ctl	0.307635076234788	0.0783735978696494	187	187	0.000180282963829764	0.00856086531100191
X2.1.1.172.16S.rRNA..guanine.1207..N.2...methyltransferase	diagnosis	Ctl	-3.04080150812118	0.788488389804702	187	135	0.000183086807405783	0.00859079477207024
X2.7.2.1.Acetate.kinase	diagnosis	Ctl	0.280537293165023	0.0722845972398502	187	187	0.000184359213921283	0.00859079477207024
X2.1.1.182.16S.rRNA..adenine.1518..N.6..adenine.1519..N.6...dimethyltransferase	diagnosis	Ctl	0.261837569574531	0.0675518033658348	187	187	0.000189324775891282	0.00874049382031418
X3.1.3.97.3..5..nucleoside.bisphosphate.phosphatase	diagnosis	Ctl	-3.19211728792735	0.829755919559842	187	95	0.000193400842584072	0.00884675780847875
X5.4.99.21.23S.rRNA.pseudouridine.2604..synthase	diagnosis	Ctl	-2.87800465677094	0.747286268485077	187	148	0.000195215750917744	0.00884859758250794
X1.17.4.1.Ribonucleoside.diphosphate.reductase	diagnosis	Ctl	-0.560581549031646	0.146193889386722	187	187	0.000197505549665143	0.00887173577144508
X5.99.1.3.Transferred.entry.5.6.2.2	diagnosis	Ctl	0.258955451475366	0.0671418422027897	187	187	0.000201049842084361	0.00895030814850557
X3.5.1.108.UDP.3.O.acyl.N.acetylglucosamine.deacetylase	diagnosis	Ctl	-0.852442779855209	0.223782638279634	187	187	0.000203044300314717	0.00895910514485998
X2.4.1.58.Lipopolysaccharide.glucosyltransferase.I	diagnosis	Ctl	-3.48383699591858	0.910867657411644	187	118	0.00020668158654422	0.00903959991674981
X1.11.1.5.Cytochrome.c.peroxidase	diagnosis	Ctl	-2.14765141950394	0.5592314116454	187	169	0.000208827307547955	0.00905402569942698
X2.1.1.64.3.demethylubiquinol.3.O.methyltransferase	diagnosis	Ctl	-1.37282084044684	0.359535921917718	187	185	0.000211290744069395	0.00908185905112073
X1.7.99.1.Hydroxylamine.reductase	diagnosis	Ctl	0.409055273443227	0.107170545803	187	187	0.00021705129583615	0.00917133695795799
X2.2.1.7.1.deoxy.D.xylulose.5.phosphate.synthase	diagnosis	Ctl	0.295941329438447	0.0765708296523715	187	187	0.000216137596353043	0.00917133695795799
X1.1.1.103.L.threonine.3.dehydrogenase	diagnosis	Ctl	-1.15095229755466	0.30284483832805	187	186	0.00023136744636148	0.00939393500685186
X1.1.1.291.2.hydroxymethylglutarate.dehydrogenase	diagnosis	Ctl	-3.06051971540517	0.807837784349466	187	125	0.000232763166580452	0.00939393500685186
X1.2.1.27.Methylmalonate.semialdehyde.dehydrogenase..CoA.acylating.	Age	Age	0.0766077844870729	0.0198530719500174	187	93	0.000229080092795548	0.00939393500685186
X1.8.5.3.Respiratory.dimethylsulfoxide.reductase	diagnosis	Ctl	-2.9193812520624	0.768263877734004	187	165	0.0002318506856722	0.00939393500685186
X2.4.1.129.Peptidoglycan.glycosyltransferase	diagnosis	Ctl	-0.584922487580464	0.15395748859095	187	187	0.000233623734626881	0.00939393500685186
X3.4.22.40.Bleomycin.hydrolase	diagnosis	Ctl	2.46712879782993	0.648827292282953	187	177	0.000225819710522285	0.00939393500685186
X1.14.14.5.Alkanesulfonate.monooxygenase	diagnosis	Ctl	-3.42642281203483	0.906655480657481	187	136	0.000247345035517914	0.00945676538195129
X1.2.1.38.N.acetyl.gamma.glutamyl.phosphate.reductase	diagnosis	Ctl	0.228608657357496	0.0604120705458447	187	187	0.000245124093612891	0.00945676538195129
X1.2.1.72.Erythrose.4.phosphate.dehydrogenase	diagnosis	Ctl	-2.73552980736416	0.723643202921515	187	133	0.000244126238368193	0.00945676538195129
X1.3.3.3.Coproporphyrinogen.oxidase	diagnosis	Ctl	-2.90542469589709	0.7694769943426	187	131	0.000248462949265066	0.00945676538195129
X2.7.2.8.Acetylglutamate.kinase	diagnosis	Ctl	0.244749361045019	0.0644490202187055	187	187	0.000247606770692015	0.00945676538195129
X3.1.26.5.Ribonuclease.P	diagnosis	Ctl	0.328311516243556	0.0852694517678497	187	187	0.000246227901008221	0.00945676538195129
X5.4.99.29.23S.rRNA.pseudouridine.746..synthase	diagnosis	Ctl	-2.82931592771903	0.748178575979934	187	108	0.000247681154501247	0.00945676538195129
X3.4.11.5.Prolyl.aminopeptidase	diagnosis	Ctl	1.43573852086398	0.381058778471772	187	186	0.00025619540422654	0.0096771991323752
X2.3.1.29.Glycine.C.acetyltransferase	diagnosis	Ctl	-0.85735212857189	0.22931718621581	187	187	0.000261941040233673	0.00974037176713667
X2.6.1.13.Ornithine.aminotransferase	diagnosis	Ctl	-1.39370390692811	0.37119805307845	187	182	0.000265682021726953	0.00974037176713667
X4.1.1.5.Acetolactate.decarboxylase	Age	Age	0.0858824214690352	0.0225851178239799	187	139	0.000261529781774474	0.00974037176713667
X6.3.2.6.Phosphoribosylaminoimidazolesuccinocarboxamide.synthase	diagnosis	Ctl	0.334206985234437	0.0873871106895344	187	187	0.000264329621945032	0.00974037176713667
X3.5.1.9.Arylformamidase	Age	Age	-0.0419534304420386	0.0108093230056889	187	177	0.000272154900502369	0.00990484915258988
X3.1.2.2.Palmitoyl.CoA.hydrolase	diagnosis	Ctl	-2.95612406561525	0.789493581144625	187	102	0.000276240853193077	0.00998070213058465
X1.6.6.9.Deleted.entry	diagnosis	Ctl	-2.61449394938087	0.701198049474087	187	131	0.000286397225186158	0.0101392554928842
X3.5.3.23.N.succinylarginine.dihydrolase	diagnosis	Ctl	-3.01356082329886	0.807947826523558	187	132	0.000286729848475065	0.0101392554928842
X5.4.1.2.Transferred.entry.5.4.99.61	Age	Age	-0.0886259822272918	0.02327593275749	187	180	0.000285320219911948	0.0101392554928842
X1.1.5.2.Quinoprotein.glucose.dehydrogenase..PQQ..quinone.	diagnosis	Ctl	-2.84174864855375	0.760312404255954	187	145	0.000291062818360296	0.0101987662853294
X1.11.1.6.Catalase	diagnosis	Ctl	-1.10257297526134	0.296142938979685	187	187	0.000292503726193764	0.0101987662853294
X3.5.1.100..R..amidase	diagnosis	Ctl	-1.11590284086903	0.300135049422017	187	187	0.000297297409430675	0.0102486355068937
X3.5.4.12.dCMP.deaminase	Age	Age	-0.0558358998590035	0.0146643762780311	187	185	0.000298044955575529	0.0102486355068937
X4.1.1.98.4.hydroxy.3.polyprenylbenzoate.decarboxylase	diagnosis	Ctl	-2.74950118075853	0.739688513505975	187	116	0.000300936974520216	0.0102772038010808
X4.2.1.130.D.lactate.dehydratase	diagnosis	Ctl	-2.5515368725617	0.683508401980982	187	149	0.000306466875283495	0.0103948560555341
X4.1.1.47.Tartronate.semialdehyde.synthase	diagnosis	Ctl	-3.15226673344494	0.849512566147507	187	144	0.000315152508812986	0.0104756693929436
X5.4.99.22.23S.rRNA.pseudouridine.2605..synthase	diagnosis	Ctl	-3.3366468715539	0.898972282054504	187	124	0.000314340285865393	0.0104756693929436
X5.4.99.27.tRNA.pseudouridine.13..synthase	diagnosis	Ctl	-3.32686585518153	0.896828337550957	187	144	0.000314249914716611	0.0104756693929436
X1.4.1.9.Leucine.dehydrogenase	Age	Age	0.0681471150363295	0.0179859293516185	187	90	0.000323535161851522	0.0106329888610613
X5.4.2.11.Phosphoglycerate.mutase..2.3.diphosphoglycerate.dependent.	diagnosis	Ctl	-0.751853767634122	0.203452933832409	187	187	0.0003241504827279	0.0106329888610613
X1.12.99.6.Hydrogenase..acceptor.	diagnosis	Ctl	-2.20000129069093	0.59464091541071	187	182	0.000341503012290784	0.0108275381298543
X1.4.3.16.L.aspartate.oxidase	diagnosis	Ctl	-0.507818200743682	0.137454441459203	187	187	0.000337733517456111	0.0108275381298543
X2.1.1.298.Ribosomal.protein.L3.N.5..glutamine.methyltransferase	diagnosis	Ctl	-2.75809319408913	0.747817698135032	187	127	0.000343354302450757	0.0108275381298543
X2.4.2.7.Adenine.phosphoribosyltransferase	diagnosis	Ctl	0.271210085105445	0.0734556765826349	187	187	0.000343752978827796	0.0108275381298543
X2.6.99.2.Pyridoxine.5..phosphate.synthase	diagnosis	Ctl	-1.16208391018768	0.3162731242599	187	184	0.000334083985822392	0.0108275381298543
X3.2.2.4.AMP.nucleosidase	diagnosis	Ctl	-1.50692742573674	0.409968492327695	187	182	0.00034273390698589	0.0108275381298543
X3.6.3.33.Transferred.entry.7.6.2.8	diagnosis	Ctl	-2.99180868193793	0.813470223744359	187	127	0.000345282503539276	0.0108275381298543
X3.1.1.32.Phospholipase.A.1.	diagnosis	Ctl	-3.15766989186531	0.857299011158416	187	137	0.000348294326848126	0.0108537219604047
X3.1.1.45.Carboxymethylenebutenolidase	diagnosis	Ctl	-3.25483033823405	0.887635243205092	187	121	0.00035650616662047	0.0110406195451532
X2.6.1.88.Methionine.transaminase	diagnosis	Ctl	-3.09008699556302	0.840706501842822	187	129	0.000362757761606983	0.0110701688864418
X4.1.2.20.2.dehydro.3.deoxyglucarate.aldolase	diagnosis	Ctl	-2.89748044878765	0.787013734951304	187	152	0.000360615906610371	0.0110701688864418
X4.4.1.21.S.ribosylhomocysteine.lyase	diagnosis	Ctl	0.364180680103477	0.099050959875064	187	187	0.000364121078495076	0.0110701688864418
X1.3.1.54.Precorrin.6A.reductase	Age	Age	-0.0397900123755	0.0103228901632655	187	187	0.000371417792827455	0.0111602604033888
X6.3.2.14.Enterobactin.synthase	diagnosis	Ctl	-3.03553276101428	0.828504473291601	187	105	0.000371561016237976	0.0111602604033888
X4.1.2.57.Sulfofructosephosphate.aldolase	diagnosis	Ctl	-2.78453294555593	0.758358846797938	187	97	0.000375920042327799	0.0112235768326132
X2.7.7.27.Glucose.1.phosphate.adenylyltransferase	diagnosis	Ctl	0.662244879519537	0.180282854340945	187	187	0.000381134180917326	0.0113115180122249
X1.13.11.27.4.hydroxyphenylpyruvate.dioxygenase	diagnosis	Ctl	-2.65260481675984	0.727897686637784	187	132	0.000404351315433719	0.0117214863880961
X1.4.1.4.Glutamate.dehydrogenase..NADP....	diagnosis	Ctl	-1.90114046335316	0.521591079673103	187	181	0.000397564317218634	0.0117214863880961
X2.3.1.n5.transferring.	diagnosis	Ctl	-2.61875445162817	0.719161696324651	187	100	0.000404096555504781	0.0117214863880961
X6.3.4.2.CTP.synthase..glutamine.hydrolyzing.	diagnosis	Ctl	0.250055557571591	0.0680740467177405	187	187	0.000401228391228623	0.0117214863880961
X3.1.3.26.4.phytase	diagnosis	Ctl	-3.01150833560037	0.827195110136433	187	120	0.000407366579129448	0.0117406344713262
X1.3.1.28.2.3.dihydro.2.3.dihydroxybenzoate.dehydrogenase	diagnosis	Ctl	-3.28616212175898	0.907251591534722	187	139	0.000430302007167047	0.012330378205373
X2.7.2.15.Propionate.kinase	diagnosis	Ctl	-2.93065972214303	0.810529521723549	187	118	0.000435975041918001	0.0124137177171007
X3.4.21.107.Peptidase.Do	diagnosis	Ctl	-1.05139716711209	0.289419819054992	187	187	0.000438189795068134	0.0124137177171007
X1.3.3.11.Pyrroloquinoline.quinone.synthase	Age	Age	0.057647972539422	0.0154946477259985	187	33	0.000442827815655033	0.0124302822357808
X6.1.1.19.Arginine..tRNA.ligase	diagnosis	Ctl	0.41909881587832	0.115236197895547	187	187	0.000443760577209985	0.0124302822357808
X2.1.1.222.2.polyprenyl.6.hydroxyphenol.methylase	diagnosis	Ctl	-2.81818243350091	0.781650373359529	187	137	0.000451620649001163	0.0125686187670982
X2.7.11.5..Isocitrate.dehydrogenase..NADP......kinase	diagnosis	Ctl	-2.94526092873928	0.816307314971068	187	132	0.000453740749714738	0.0125686187670982
