# features	HSM67VEO	CSM5MCUQ_P	CSM67UAU	CSM79HJM	CSM5FZ3T_P	CSM79HNO	HSM5MD4U_P	MSM5LLFG_P	HSM5MD87_P	HSM7J4HM	MSM5LLFK_P	MSM6J2K2	MSM9VZL5	MSM9VZMO	MSMA267V	PSM6XBVI	PSM7J4EF	MSM5LLHV_P	MSM79H5E	MSM5LLIS_P	MSM6J2JN	MSM6J2Q1	ESM5MEB7	HSM5MD57_P	MSM5LLIQ_P	MSM79H7C	HSM7J4LP	HSM5MD8P_P	CSM5MCV1_P	MSM79H8D	PSM6XBRK_TR	PSM6XBSE	HSM5MD8A_P	CSM5MCU4_P	HSM7J4JH	HSMA33IE	PSM7J199	CSM67U9H	ESM5MEEJ_P	PSM6XBSI	CSM6J2H9_P	HSM6XRQB	PSM6XBT3	PSM7J177	CSM7KORO	CSM5MCUG_P	ESM5GEYU_P	MSM5LLHR_P	ESM5GEYY_P	ESM5MEE2_P	ESM5MEA7_P	MSM6J2JZ	HSM6XRR5	CSM79HHO	HSM67VI3	HSM7CZ3A	ESM5MEDZ_P	HSM7J4J7	MSM5LLIC_P	HSM5MD62	HSM6XRUL	MSM9VZFL	HSM7J4NO	PSMA265X	CSM5MCXT	ESM5MEDN	MSM5LLDI	PSMA266U	HSM5MD82_P	MSM5LLH2_P	MSM9VZMM	MSM5LLDK	CSM5MCTZ_P	HSM7CZ2Z
ARGORNPROST-PWY	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	NaN	NaN	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	0.0	NaN	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.5079401788159803	0.0	0.0	0.5864847845204495	0.0	0.862329917599919	0.0	0.0	0.5024594839623603	0.2285699611142103	NaN	0.0	0.3353059417007194	0.777925237577653	0.0	0.4097204482745281	0.0	0.0	0.0	0.5668208969575295	0.5944018786382053	0.3929841438647683	0.0	0.6294324295809216	NaN	0.1419324096555118	NaN	0.2970034001474203	0.5107377438520311	0.5391375362734722	0.0	0.7665604813019286	0.0	0.5907339858178119	0.0	0.0	0.5725951697285204	0.7428149319963308	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.263160649643861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8103773162883076	0.7658186345621794	0.44984018773721074	1.0828375412343179	0.45588874275980074	0.40368365016617347	0.0	0.4364537783476305	0.9801276937258793	0.0	0.5820298976724527	0.47485999110623045	0.0	0.0	1.0732129050583454	0.0	0.34755552630888187	1.263398314575063	0.0	0.0	0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.4638012577928163	0.0	0.5430068469692474	0.5775736526465902	0.0	0.8330242324018902	0.0	0.3141895187573159	0.5440940829787821	0.15103777568218366	NaN	0.0	0.17695286586973438	0.0	0.0	0.0	0.0	0.0	0.0	0.7758925049286425	0.44909245400345954	0.0	0.0	0.6436903252987257	NaN	0.0	NaN	0.21183993211023816	0.2909303799095512	0.2541635498803632	0.0	0.7434507426232467	0.0	1.263926912735146	0.0	0.0	0.8701872233808483	0.5696351520024531	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.22010060279677807	0.9622178236223131	0.0	0.0	0.0	0.0	0.0	0.2752715778560888	0.6272249466123776	0.7368876356248893	0.26658359104002444	1.0483017585438694	0.2228682037656886	0.2996542367170967	0.0	0.0	0.0	0.0	0.60466865171621	0.3869721571052645	0.0	0.0	1.2046403363774225	0.0	0.26121332943334274	0.0	0.0	0.0	0.0
ARO-PWY: chorismate biosynthesis I	0.5028341645161907	0.0	0.0	0.4298039800746634	0.0	0.6513743528875333	0.0	0.0	0.5770177829503261	0.4342298788650647	0.5263584300281123	0.0	0.1676178517394718	0.14665238219547186	0.3309998405436881	0.4715689595729062	0.0	0.8586805425726987	0.0	0.5170400186290083	0.5488633347691727	0.45015366812564506	0.3337361517114706	0.14446909771260313	NaN	0.0	NaN	0.0	0.5095667549138269	0.20584366376519497	0.0	0.4811028484081824	0.0	0.35508723368007705	0.7813584030938043	0.6494853526230945	0.182102300952663	0.24529497811606182	0.0	0.7297153090672047	0.5768333845803726	0.0	0.0	NaN	0.4164435594286172	0.3300373007733397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7698445675150202	1.017098108335484	0.3674399599669255	0.5347283884693117	0.5307575932405708	0.424784208893435	0.0	0.0	0.6789478371641087	0.0	0.48120432236402283	0.5200872606960607	0.0	0.0	0.6309999372948344	0.0	0.3775960593810763	0.0	0.0	0.061647219802242095	0.0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	1.0226296308363598	0.7975844421680595	1.3018111101149645	0.982853150417277	2.52281165090532	1.9304105534318574	0.47341364478856346	0.4386415626365232	1.2426474993394527	1.0054806421750682	1.0944882331233288	0.6363751386420287	0.9382136346289177	0.9756513702093896	1.0988332594735315	0.9624679586446218	8.005486001950631	1.369577145505025	0.0	0.1822977238769065	0.6825493061788007	1.2538457835980763	1.7043078523887425	0.589129805674617	Inf	0.9383470906763742	0.0	0.3691546631212328	2.1074464010603178	0.6737283646740593	4.0366195279635075	0.7800758044313781	0.712061425305635	0.5058422228900211	1.1698314096758837	1.2281665666645576	0.950474170494779	0.6503797752197353	0.8007029034474771	0.9968001686980449	0.42415088385868605	2.2531029524420694	4.978428425404269	NaN	0.8049398693910897	0.7920283755120683	1.711576986635931	0.8816617465990759	0.8879179270180523	0.4770234595852144	4.930108082500475	0.7936665442817413	1.1582213067952474	0.6190940198589905	0.6412668897538849	0.7644207029175559	0.8403445176138435	1.0792313736503614	1.2836733611045357	0.7034176692487284	0.8551247492117166	0.60329309139714	0.7877731870507335	0.5197314222092301	0.7969765849802847	0.0	0.0	0.5483493911726126	1.4989267027703417	0.5255314969201484	0.7219446946023391	0.9893963541849509	1.1947283812926637	0.0
AST-PWY: L-arginine degradation II (AST pathway)	NaN	0.0	NaN	NaN	NaN	0.0	0.0	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	0.0	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	NaN	0.0	NaN	NaN
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	1.4515970339048654	0.0	0.0	0.0	0.0	1.1642513353894004	0.0	0.0	0.0	0.0	0.47204559567373716	0.0	0.0	0.6156388318917652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.49468822374428595	NaN	0.0	0.4646844177242642	0.0	0.0	0.3850819004539224	0.0	NaN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.43164506728641516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37075591987898515	0.0	0.0	0.19524304359261788	0.2980948634230834	0.3737468070049973	0.0	0.44940496589279555	0.0	0.0	1.0333925974807299	0.20557546022668668	0.0	0.0	0.4524809708217496	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	1.1772862769985404	0.5429812322335862	0.3900415190777179	0.7784507533013849	0.7516200091038254	1.1399633514817749	0.9589487339034242	0.7350998513641155	1.9694836636021176	0.5153917661857905	0.7283639416600592	1.4235446082943752	1.5999241041347474	0.9839871456660899	0.5263491835632101	0.36354487285851844	0.0	0.5994619906588476	0.0	1.1219644045343689	0.8191846180729487	1.3981658025178116	2.1211754085878707	1.8368868598141774	Inf	0.8734679500937349	NaN	1.4765699311780995	0.4175708527730467	0.9015026059570608	0.0	1.3085994757872166	0.0	1.0438979753269007	0.23933567083989926	0.5770541790406533	0.5505811643286947	1.4391831509133952	1.3315801194170915	0.0	0.5263905563036191	0.5972437817998604	0.39460391482103757	NaN	0.9307952113264266	1.9869123211133182	1.1384754317552712	2.656774118856982	0.9570454878802118	1.509148108816732	0.79642099920478	0.9081273498882192	0.7315298394216972	0.6650989565710544	0.7936237488652341	0.7348617833324159	1.9921237114467518	0.4743936575570074	0.7275434213627392	1.2709577170714004	0.35060399938916187	0.38296688706826215	0.6285447523681574	0.7259509780793867	1.3696677029210829	0.0	0.0	3.1222090455804348	0.0	1.2411258650310917	1.0042416637258034	0.6891134258586034	2.1564367370011612	0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle	1.360592535015117	0.0	1.8082686057683268	1.6958332100183768	0.3146677009819691	2.4205415042995213	1.0281183949584718	0.5676590125338328	2.1143153297371433	1.3047254485354234	1.5072312566335555	0.0	1.8416074186737337	1.3067414215131428	0.3477066331549648	1.6464239689601767	0.0	1.4681135992086227	0.0	4.548189083642624	1.912233638406591	0.827753348519925	0.0	1.3984798655358013	NaN	0.7947447530569123	0.0	1.946591810875456	2.067919861659066	1.6566364070816832	0.0	1.7443922480711322	2.4709996015759303	1.961532431739627	1.614047845225189	1.0419165973625257	0.0	1.2108166519532546	2.711733517549734	0.0	1.9596231178303252	0.0	2.0990996063510505	NaN	2.544462353726966	2.8363148019472795	2.2283425017034375	0.0	1.5928092730176528	1.9554471147242547	1.0502634189301903	0.9418781966348951	0.5817296330496275	1.6115164750761315	0.0	0.9877604664440405	2.8654909311735675	2.0235895802231783	1.3998131967912073	0.0	2.8715074788473927	0.863367585991349	0.0	1.5792452845637286	1.255341277760906	0.0	0.0	1.8630235509950799	0.0	2.284591022693736	1.1575286825336415	2.0792942471541376	1.0115094426133693	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CENTFERM-PWY: pyruvate fermentation to butanoate	Inf	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	1.0260771179138986	NaN	0.0	0.0	0.0	0.0	7.321996317898743	NaN	0.0	0.0	NaN	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	1.8841372726300851	0.0	Inf	0.0	NaN	0.0	NaN	0.0	NaN	0.0	0.0	0.0	0.0	NaN	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	NaN	3.373347211450493	0.0	0.0	Inf	0.0	0.5219324887183007	0.0	0.0	0.0	NaN	0.0	Inf	NaN	NaN	1.7960437704234589	0.0	NaN	0.0	0.0	0.0	NaN
CITRULBIO-PWY: L-citrulline biosynthesis	0.6432442925169735	0.0	0.736081594654106	0.547423890913084	0.0	NaN	0.0	0.5379860195466961	0.6743478926850934	0.9922737530073463	0.0	2.0639913550247395	0.8389625564161227	1.7734705723477335	0.0	1.6179573614728837	0.0	0.9038898446936546	0.0	1.7278359082404544	0.8037468470996229	0.9817985062372293	1.1021672706504213	1.7544699144733704	NaN	0.5431851559712384	NaN	1.0064249020052523	0.0	0.9747152291562895	0.0	0.7175160591366064	0.7953245219365428	0.0	0.0	0.5625492605787433	0.6004629431308548	1.0753316857761481	0.6308268393401582	0.0	0.0	0.0	0.0	NaN	0.22467458588008302	0.5374087531802096	1.466587232504039	0.0	0.0	0.4789934919226126	0.26946559677586807	0.5792012044780025	0.9481636813861747	1.7496365397735227	1.7240805349407073	0.7487142573741413	0.8446098192113599	0.6865638614318275	1.75773924751329	0.0	1.3596859528321827	1.1390783325974132	0.928681014770837	0.7891504167364131	0.4685744811510524	0.0	0.0	0.4891612269052383	0.0	1.0400633262673742	2.0887063874287515	0.0	0.6061871870477057	0.0
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.8855990526577203	0.2623895430756633	0.897491323985745	0.5917119194342425	0.358503597185211	0.6869298877164232	1.9066901909276703	1.0452615472892373	0.8953118363248105	1.0185871221240763	1.0044874568497233	0.40436726733745265	0.8605421505967258	1.0000481640164451	1.221502427072361	1.0158053719941509	5.815756482946931	1.0492043866591807	0.0	0.9856394490688426	0.6307950156849996	0.8279835671741793	0.6132724380421511	0.7155422079380744	Inf	0.7400377299528882	0.0	0.5612571636563448	1.1678364947894133	0.6295596450775376	1.469632893878895	0.723433776586051	1.1859988605369776	0.6894955913271684	2.9304735683414393	0.8855127018512237	0.6980117690453671	0.3499252372920234	0.914015022025873	0.0	0.9831442556536594	0.769404334096757	1.686732555382609	NaN	0.8051115281523122	0.6864630999093813	0.40778463893566075	0.6769793047032487	1.2616862908898085	0.7267312831131945	1.1165758408476876	0.15799633636593857	0.935783608113143	0.9067804585105023	1.4576155356046983	1.0367561378682366	0.9031830276133891	0.550857613286511	0.6943856216891517	0.7840148755342278	0.8478418009384731	0.6570526270406712	0.7396404519913881	0.8731198148987801	0.8244045499784315	1.2864511686152758	6.219304091169434	0.5890460725506927	0.7839369284097788	0.6178005969106636	0.6868161244731404	0.8977120989591143	0.513497361473455	0.0
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	1.1844393638555495	0.298748518302638	1.2937636194449789	0.7752687428654955	1.5293274571975082	0.8157914501302407	3.65119533845947	1.2837567924840438	0.9138639344224588	1.109802868960109	1.5592108602137307	0.3766717249262208	1.1687479906705247	1.0014007647074534	1.3853435520591957	1.2720932794228896	5.941361111163528	1.216370958933022	0.0	0.9856394490688426	0.825319693453804	1.2546327474489118	1.1350358540998555	2.695771431364248	Inf	0.9970085423087148	0.0	0.8911650710385349	1.6676964779899257	0.8272198713481835	2.765145867381148	0.7558212736817489	0.651082373236537	0.9304960404250394	2.2311639385586592	0.858997000450697	0.8573397771863924	0.5800603324326093	1.2284994051194997	0.0	1.11921978194538	0.9188604788395085	2.870370987915111	NaN	0.9025933530583957	1.1241943094530347	0.8459629296695714	0.7972292439544454	1.4319608466799758	1.6929087601743962	1.699837560075607	0.3932704064192217	1.1314020872270476	1.470483836447855	1.4978034629876968	1.1707377455833647	1.1026561857964154	0.8798072917927157	1.0367041366298648	1.3665092133143684	1.0525427979777282	0.8454273196442931	1.132930609410779	1.0181113900600578	0.9860564744708347	1.5979598082690052	9.473469347139284	0.5610308250870629	1.2600582637235114	0.829224617785475	0.9978902477514977	1.1141964518034344	1.0217844789371378	0.0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0.33828170602755747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2822943564631381	0.6652919115763634	0.0	0.0	0.38684594104261777	0.3164361768223538	0.7171845540528484	0.6366563702916898	NaN	0.0	0.0	0.42431016383865466	0.0	0.0	0.0	0.5599848350596452	NaN	0.31642528982305773	NaN	0.0	0.5083761562364763	0.6725596845570367	0.0	0.2763347237686497	0.0	1.5386934388562858	0.3497233442074672	0.6552085570857036	0.6997243144575304	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.30648975554101643	0.0	0.5848543261942648	0.0	0.0	0.3788180562160362	0.0	0.0	0.0	0.35177394556374886	0.0	0.4846649246354394	0.3104244483987344	0.6422729897972735	0.2476186336881432	0.0	0.1455322988045403	0.0	0.4759168987099061	0.6680187947328748	0.1300643970537583	0.0	0.0	0.49726096457100644	0.0	0.20595313110630195	0.2888648745864201	0.0	0.0	0.0
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.8297460806366679	0.0	0.0	0.0	0.0	0.6413373231709646	0.5091001847254816	0.0	0.8057644834057993	0.0	Inf	0.0	0.5499220332308378	0.0	0.0	2.0610492146749806	0.0	0.0	0.0	2.5029425104494685	1.4744957827939809	0.0	0.0	0.7563642916320772	NaN	0.0	NaN	1.4763036536347938	0.4729400015303004	0.7713033503239977	0.0	2.054735796550681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	1.112620046077929	0.0	1.5921829945176489	2.1968062525322547	0.0	0.0	0.0	0.0	1.0536424986117638	1.1991713190792037	0.0	7.041546322315648	3.5699705435621945	1.8565468274292438	0.7948219049090032	0.0	4.35419082716794	0.0	1.3407798216247457	3.1650902759130894	0.7295807759102275	0.0	0.0	1.5210996127353613	0.0	0.626392464069358	0.0	1.8494959024692277	0.0	0.0
