# features	HSM6XRVK	HSM67VD2	HSMA33OT	PSMA264U	CSM79HI3	MSM6J2RS	MSM9VZMI	CSM79HP4	ESM5ME9U	PSM7J182	PSM7J154	CSM67UGO
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Ruminococcus_torques	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Citrobacter.s__Citrobacter_freundii	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Citrobacter.s__Citrobacter_youngae	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Clostridium.s__Clostridium_bolteae_CAG_59	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Coprococcus.s__Coprococcus_comes	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Coprococcus.s__Coprococcus_eutactus	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Dialister.s__Dialister_sp_CAG_357	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Dysgonomonas.s__Dysgonomonas_gadei	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Dysgonomonas.s__Dysgonomonas_mossii	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Dysgonomonas.s__Dysgonomonas_sp_37_18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Escherichia.s__Escherichia_coli	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Flavonifractor.s__Flavonifractor_plautii	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Fusobacterium.s__Fusobacterium_nucleatum	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Haemophilus.s__Haemophilus_parainfluenzae	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Hungatella.s__Hungatella_hathewayi	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Klebsiella.s__Klebsiella_oxytoca	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Klebsiella.s__Klebsiella_pneumoniae	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Lachnoclostridium.s__Clostridium_bolteae	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Lachnoclostridium.s__Clostridium_citroniae	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Lachnoclostridium.s__Clostridium_clostridioforme	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0.0	0.0	NaN	0.0	NaN	0.0	NaN	0.0	0.0	NaN	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Morganella.s__Morganella_morganii	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Odoribacter.s__Odoribacter_splanchnicus	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Parabacteroides.s__Parabacteroides_distasonis	NaN	0.0	NaN	0.0	NaN	0.0	0.0	0.0	0.0	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Parabacteroides.s__Parabacteroides_johnsonii	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Parabacteroides.s__Parabacteroides_merdae	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Roseburia.s__Roseburia_faecis	NaN	NaN	NaN	0.0	NaN	0.0	NaN	0.0	NaN	NaN	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Roseburia.s__Roseburia_hominis	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Roseburia.s__Roseburia_intestinalis	0.0	0.0	NaN	0.0	NaN	NaN	NaN	0.0	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Roseburia.s__Roseburia_inulinivorans	0.0	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Veillonella.s__Veillonella_dispar	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Veillonella.s__Veillonella_infantium	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Veillonella.s__Veillonella_parvula	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Veillonella.s__Veillonella_sp_T11011_6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|unclassified	0.0	NaN	NaN	0.0	0.0	0.0	0.0	0.9828074209370451	0.0	0.0	NaN	NaN
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AEROBACTINSYN-PWY: aerobactin biosynthesis	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
ANAEROFRUCAT-PWY: homolactic fermentation	1.2415163422638082	0.0	3.7213939011802077	0.6233369257176997	2.644012440113399	0.0	8.320216348107461	0.8244959367705076	0.0	4.508013334150279	0.0	0.0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Citrobacter.s__Citrobacter_freundii	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ANAEROFRUCAT-PWY: homolactic fermentation|g__Citrobacter.s__Citrobacter_youngae	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN	NaN
ANAEROFRUCAT-PWY: homolactic fermentation|g__Klebsiella.s__Klebsiella_oxytoca	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ANAEROFRUCAT-PWY: homolactic fermentation|g__Klebsiella.s__Klebsiella_pneumoniae	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	NaN	NaN	Inf	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	1.3048257396350418	1.3304322575669392	8.235046216697453	3.575695309203608	4.16804176267436	6.398428196226202	2.633883537709483	1.9351924524661344	6.1191901678036285	4.987243749606125	4.371507338235818	2.9685201356442903
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Alistipes.s__Alistipes_shahii	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Anaerostipes.s__Anaerostipes_hadrus	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_cellulosilyticus	NaN	NaN	NaN	NaN	NaN	NaN	4.357753873203946	0.0	NaN	NaN	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_fragilis	NaN	0.8909779304787221	NaN	NaN	NaN	0.0	6.243902443206668	NaN	NaN	NaN	0.0	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_nordii	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_salyersiae	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bifidobacterium.s__Bifidobacterium_longum	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Citrobacter.s__Citrobacter_freundii	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Citrobacter.s__Citrobacter_youngae	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Fusobacterium.s__Fusobacterium_nucleatum	NaN	NaN	NaN	NaN	7.169639231166915	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Haemophilus.s__Haemophilus_parainfluenzae	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Klebsiella.s__Klebsiella_oxytoca	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Klebsiella.s__Klebsiella_pneumoniae	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Klebsiella.s__Klebsiella_variicola	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Morganella.s__Morganella_morganii	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Parabacteroides.s__Parabacteroides_distasonis	NaN	0.0	Inf	3.434542618564291	NaN	0.0	0.0	0.0	0.0	NaN	0.0	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Parabacteroides.s__Parabacteroides_johnsonii	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0.0	NaN	Inf	0.0	NaN	NaN	0.0	NaN	0.0	23.155303336840294	NaN	NaN
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0	0.0	NaN	0.0	0.21268987978464735	NaN	0.0	0.0	0.0	0.0	NaN	NaN
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN	NaN
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Klebsiella.s__Klebsiella_oxytoca	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	0.0	NaN	NaN
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Citrobacter.s__Citrobacter_freundii	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Escherichia.s__Escherichia_coli	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Klebsiella.s__Klebsiella_oxytoca	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Klebsiella.s__Klebsiella_pneumoniae	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	1.197359567348928	0.315507591784973	0.23088410683678198	1.3449086120314078	0.0	0.0	0.2923074372880917	0.30442658486876517	1.3140702948423701	NaN	0.9023231454279746	1.0698156802415124
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_caccae	NaN	NaN	NaN	0.0	NaN	0.0	NaN	0.0	0.0	NaN	0.0	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_cellulosilyticus	NaN	NaN	NaN	NaN	NaN	NaN	1.761892365590799	0.0	NaN	NaN	NaN	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_dorei	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	0.0	NaN	0.0	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_eggerthii	NaN	NaN	1.1093031208605488	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_faecis	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_faecis_CAG_32	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_finegoldii	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_fragilis	NaN	0.0	NaN	NaN	NaN	0.0	0.0	NaN	NaN	NaN	0.0	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_massiliensis	1.0549684296096464	NaN	0.0	1.1352068806438655	NaN	0.0	NaN	0.2644882940613129	0.0	NaN	NaN	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_nordii	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_oleiciplenus	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	5.725384232524295
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	0.6514929549334174	0.0	NaN	0.0	NaN	0.0	NaN	0.0	0.0	NaN	0.0	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_stercoris	1.5047305931932209	0.0	0.2016308786055533	0.0	NaN	NaN	NaN	NaN	NaN	NaN	4.6584310034903185	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron	NaN	0.0	NaN	0.0	NaN	0.0	0.0	0.0	0.0	NaN	NaN	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	NaN	0.7017126707686803	0.883856594123972	0.0	NaN	0.0	1.8960532780215587	NaN	34.32736093185556	NaN	0.0	2.2806588684706095
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	NaN	NaN	0.08883378519792805	0.0	NaN	0.0	0.39880651960947094	0.0	0.0	NaN	0.0	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_xylanisolvens	0.683264212623525	0.0	NaN	0.0	NaN	NaN	0.0	NaN	NaN	NaN	0.0	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Citrobacter.s__Citrobacter_freundii	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Klebsiella.s__Klebsiella_pneumoniae	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	NaN	NaN	NaN	NaN	0.0	NaN	0.0	0.0	NaN	NaN	NaN	NaN
ARGORNPROST-PWY	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN	0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.21005348736012114	1.64594814763925	0.5007808068622921	0.2560945867618488	0.3147025367547439	0.0	0.0	0.5688436260146608	0.0	0.0	0.0	0.25487165434835096
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Alistipes.s__Alistipes_finegoldii	NaN	0.0	NaN	NaN	NaN	NaN	NaN	1.4204004382845354	NaN	NaN	0.0	0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Anaerostipes.s__Anaerostipes_hadrus	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bacteroides.s__Bacteroides_galacturonicus	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_adolescentis	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_longum	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Blautia.s__Blautia_hansenii	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Blautia.s__Blautia_obeum	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Blautia.s__Blautia_wexlerae	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Blautia.s__Ruminococcus_gnavus	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Blautia.s__Ruminococcus_torques	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	0.0	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Citrobacter.s__Citrobacter_freundii	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Citrobacter.s__Citrobacter_youngae	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Clostridium.s__Clostridium_bolteae_CAG_59	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Clostridium.s__Clostridium_neonatale	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Clostridium.s__Clostridium_paraputrificum	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
