	_feature_id	_core_var	_ratio_core_cat	_mean_ratio_cat	_RNA_prev	_DNA_prev	_cat	pathway	function_biobakery	Superclass1	Superclass2	function
CALVIN-PWY: Calvin-Benson-Bassham cycle	CALVIN-PWY: Calvin-Benson-Bassham cycle	core	other	r:d>1	else	DNA exists	a	CALVIN-PWY	 Calvin-Benson-Bassham cycle	Biosynthesis	Carbohydrate Biosynthesis	Calvin-Benson-Bassham cycle
PWY-5659: GDP-mannose biosynthesis	PWY-5659: GDP-mannose biosynthesis	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-5659	 GDP-mannose biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	GDP-mannose biosynthesis
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	core	r:d=>1	r:d>1	else	DNA exists	a	GLYCOGENSYNTH-PWY	 glycogen biosynthesis I (from ADP-D-Glucose)	Biosynthesis	Carbohydrate Biosynthesis	glycogen biosynthesis I (from ADP-D-Glucose)
GLUCONEO-PWY: gluconeogenesis I	GLUCONEO-PWY: gluconeogenesis I	core	r:d=>1	r:d>1	else	DNA exists	a	GLUCONEO-PWY	 gluconeogenesis I	Biosynthesis	Carbohydrate Biosynthesis	gluconeogenesis I
PWY-6737: starch degradation V	PWY-6737: starch degradation V	core	other	r:d>1	else	DNA exists	a	PWY-6737	 starch degradation V	Degradation/Utilization/Assimilation	Carbohydrate Degradation	starch degradation V
PWY-7242: D-fructuronate degradation	PWY-7242: D-fructuronate degradation	core	other	r:d>1	else	DNA exists	a	PWY-7242	 D-fructuronate degradation	Degradation/Utilization/Assimilation	Carboxylate Degradation	D-fructuronate degradation
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	COA-PWY: coenzyme A biosynthesis I (prokaryotic)	core	other	r:d>1	else	DNA exists	a	COA-PWY	 coenzyme A biosynthesis I (prokaryotic)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	coenzyme A biosynthesis I
1CMET2-PWY: folate transformations III (E. coli)	1CMET2-PWY: folate transformations III (E. coli)	core	other	r:d>1	else	DNA exists	a	1CMET2-PWY	 folate transformations III (E. coli)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	N10-formyl-tetrahydrofolate biosynthesis
PWY-3841: folate transformations II (plants)	PWY-3841: folate transformations II (plants)	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-3841	 folate transformations II (plants)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	folate transformations II
PWY-7663: gondoate biosynthesis (anaerobic)	PWY-7663: gondoate biosynthesis (anaerobic)	core	other	r:d>1	else	DNA exists	a	PWY-7663	 gondoate biosynthesis (anaerobic)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	gondoate biosynthesis (anaerobic)
PWY-5973: cis-vaccenate biosynthesis	PWY-5973: cis-vaccenate biosynthesis	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-5973	 cis-vaccenate biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	cis-vaccenate biosynthesis
ANAEROFRUCAT-PWY: homolactic fermentation	ANAEROFRUCAT-PWY: homolactic fermentation	core	other	r:d>1	else	DNA exists	a	ANAEROFRUCAT-PWY	 homolactic fermentation	Generation of Precursor Metabolites and Energy	Fermentation	homolactic fermentation
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	core	r:d=>1	r:d>1	else	DNA exists	a	ANAGLYCOLYSIS-PWY	 glycolysis III (from glucose)	Generation of Precursor Metabolites and Energy	Glycolysis	glycolysis III (from glucose)
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-1042	 glycolysis IV	Generation of Precursor Metabolites and Energy	Glycolysis	glycolysis IV (plant cytosol)
PWY-5484: glycolysis II (from fructose 6-phosphate)	PWY-5484: glycolysis II (from fructose 6-phosphate)	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-5484	 glycolysis II (from fructose 6-phosphate)	Generation of Precursor Metabolites and Energy	Glycolysis	glycolysis II (from fructose 6-phosphate)
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	core	r:d=>1	r:d>1	else	DNA exists	a	GLYCOLYSIS	 glycolysis I (from glucose 6-phosphate)	Generation of Precursor Metabolites and Energy	Glycolysis	glycolysis I (from glucose 6-phosphate)
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III	core	other	r:d>1	else	DNA exists	a	PWY-6609	 adenine and adenosine salvage III	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	adenine and adenosine salvage III
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	PWY-841: superpathway of purine nucleotides de novo biosynthesis I	core	other	r:d>1	else	DNA exists	a	PWY-841	 superpathway of purine nucleotides de novo biosynthesis I	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of purine nucleotides de novo biosynthesis I
PWY-7208: superpathway of pyrimidine nucleobases salvage	PWY-7208: superpathway of pyrimidine nucleobases salvage	core	other	r:d>1	else	DNA exists	a	PWY-7208	 superpathway of pyrimidine nucleobases salvage	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of pyrimidine nucleobases salvage
PWY-6123: inosine-5'-phosphate biosynthesis I	PWY-6123: inosine-5'-phosphate biosynthesis I	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-6123	 inosine-5'-phosphate biosynthesis I	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	inosine-5'-phosphate biosynthesis I
PWY-6124: inosine-5'-phosphate biosynthesis II	PWY-6124: inosine-5'-phosphate biosynthesis II	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-6124	 inosine-5'-phosphate biosynthesis II	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	inosine-5'-phosphate biosynthesis II
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-6125	 superpathway of guanosine nucleotides de novo biosynthesis II	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of guanosine nucleotides de novo biosynthesis II
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-7229	 superpathway of adenosine nucleotides de novo biosynthesis I	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of adenosine nucleotides de novo biosynthesis I
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-6126	 superpathway of adenosine nucleotides de novo biosynthesis II	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of adenosine nucleotides de novo biosynthesis II
PWY-7221: guanosine ribonucleotides de novo biosynthesis	PWY-7221: guanosine ribonucleotides de novo biosynthesis	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-7221	 guanosine ribonucleotides de novo biosynthesis	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	guanosine ribonucleotides de novo biosynthesis
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-7220	 adenosine deoxyribonucleotides de novo biosynthesis II	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	adenosine deoxyribonucleotides de novo biosynthesis II
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-7222	 guanosine deoxyribonucleotides de novo biosynthesis II	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	guanosine deoxyribonucleotides de novo biosynthesis II
PWY-7219: adenosine ribonucleotides de novo biosynthesis	PWY-7219: adenosine ribonucleotides de novo biosynthesis	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-7219	 adenosine ribonucleotides de novo biosynthesis	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	adenosine ribonucleotides de novo biosynthesis
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	core	other	r:d>1	else	DNA exists	a	PWY-7197	 pyrimidine deoxyribonucleotide phosphorylation	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleotide phosphorylation
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	core	r:d=>1	r:d>1	else	DNA exists	a	PWY-7228	 superpathway of guanosine nucleotides de novo biosynthesis I	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of guanosine nucleotides de novo biosynthesis I
PWY-5695: inosine 5'-phosphate degradation	PWY-5695: inosine 5'-phosphate degradation	core	other	r:d>1	else	DNA exists	a	PWY-5695	 inosine 5'-phosphate degradation	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	urate biosynthesis/inosine 5'-phosphate degradation
PWY0-1296: purine ribonucleosides degradation	PWY0-1296: purine ribonucleosides degradation	core	other	r:d>1	else	DNA exists	a	PWY0-1296	 purine ribonucleosides degradation	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	purine ribonucleosides degradation
PWY-6608: guanosine nucleotides degradation III	PWY-6608: guanosine nucleotides degradation III	core	other	r:d>1	else	DNA exists	a	PWY-6608	 guanosine nucleotides degradation III	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	guanosine nucleotides degradation III
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	core	other	r:d>1	else	DNA exists	a	NONOXIPENT-PWY	 pentose phosphate pathway (non-oxidative branch) I	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways	pentose phosphate pathway (non-oxidative branch)
PWY-4242	PWY-4242	core	d:r<1	r:d<1	else	DNA exists	b	PWY-4242				
HISTSYN-PWY: L-histidine biosynthesis	HISTSYN-PWY: L-histidine biosynthesis	core	d:r<1	r:d<1	else	DNA exists	b	HISTSYN-PWY	 L-histidine biosynthesis	Biosynthesis	Amino Acid Biosynthesis	L-histidine biosynthesis
THRESYN-PWY: superpathway of L-threonine biosynthesis	THRESYN-PWY: superpathway of L-threonine biosynthesis	core	d:r<1	r:d<1	else	DNA exists	b	THRESYN-PWY	 superpathway of L-threonine biosynthesis	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-threonine biosynthesis
PWY-3001: superpathway of L-isoleucine biosynthesis I	PWY-3001: superpathway of L-isoleucine biosynthesis I	core	d:r<1	r:d<1	else	DNA exists	b	PWY-3001	 superpathway of L-isoleucine biosynthesis I	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-isoleucine biosynthesis I
PWY-5097: L-lysine biosynthesis VI	PWY-5097: L-lysine biosynthesis VI	core	d:r<1	r:d<1	else	DNA exists	b	PWY-5097	 L-lysine biosynthesis VI	Biosynthesis	Amino Acid Biosynthesis	L-lysine biosynthesis VI
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	ARGININE-SYN4-PWY: L-ornithine biosynthesis II	core	d:r<1	r:d<1	else	DNA exists	b	ARGININE-SYN4-PWY	 L-ornithine biosynthesis II	Biosynthesis	Amino Acid Biosynthesis	L-ornithine de novo  biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	core	other	r:d<1	else	DNA exists	b	ASPASN-PWY	 superpathway of L-aspartate and L-asparagine biosynthesis	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-aspartate and L-asparagine biosynthesis
CITRULBIO-PWY: L-citrulline biosynthesis	CITRULBIO-PWY: L-citrulline biosynthesis	core	other	r:d<1	else	DNA exists	b	CITRULBIO-PWY	 L-citrulline biosynthesis	Biosynthesis	Amino Acid Biosynthesis	L-citrulline biosynthesis
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate	core	d:r<1	r:d<1	else	DNA exists	b	PWY-6163	 chorismate biosynthesis from 3-dehydroquinate	Biosynthesis	Aromatic Compound Biosynthesis	chorismate biosynthesis from 3-dehydroquinate
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	core	other	r:d<1	else	DNA exists	b	DTDPRHAMSYN-PWY	 dTDP-&beta;-L-rhamnose biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	dTDP-L-rhamnose biosynthesis I
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	core	d:r<1	r:d<1	else	DNA exists	b	PWY-1269	 CMP-3-deoxy-D-manno-octulosonate biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	CMP-3-deoxy-D-manno-octulosonate biosynthesis I
RHAMCAT-PWY: L-rhamnose degradation I	RHAMCAT-PWY: L-rhamnose degradation I	core	d:r<1	r:d<1	else	DNA exists	b	RHAMCAT-PWY	 L-rhamnose degradation I	Degradation/Utilization/Assimilation	Carbohydrate Degradation	L-rhamnose degradation I
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	core	d:r<1	r:d<1	else	DNA exists	b	PEPTIDOGLYCANSYN-PWY	 peptidoglycan biosynthesis I (meso-diaminopimelate containing)	Biosynthesis	Cell Structure Biosynthesis	peptidoglycan biosynthesis I (meso-diaminopimelate containing)
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	core	d:r<1	r:d<1	else	DNA exists	b	PWY-6387	 UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	Biosynthesis	Cell Structure Biosynthesis	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	core	d:r<1	r:d<1	else	DNA exists	b	PWY-6385	 peptidoglycan biosynthesis III (mycobacteria)	Biosynthesis	Cell Structure Biosynthesis	peptidoglycan biosynthesis III (mycobacteria)
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	core	d:r<1	r:d<1	else	DNA exists	b	PWY-6386	 UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	Biosynthesis	Cell Structure Biosynthesis	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	core	d:r<1	r:d<1	else	DNA exists	b	PWY0-1586	 peptidoglycan maturation (meso-diaminopimelate containing)	Biosynthesis	Cell Structure Biosynthesis	peptidoglycan maturation (meso-diaminopimelate containing)
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	core	d:r<1	r:d<1	else	DNA exists	b	RIBOSYN2-PWY	 flavin biosynthesis I (bacteria and plants)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	flavin biosynthesis I (bacteria and plants)
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	core	d:r<1	r:d<1	else	DNA exists	b	PWY-7539	 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)
PWY-6168: flavin biosynthesis III (fungi)	PWY-6168: flavin biosynthesis III (fungi)	core	d:r<1	r:d<1	else	DNA exists	b	PWY-6168	 flavin biosynthesis III (fungi)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	flavin biosynthesis III (fungi)
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	core	d:r<1	r:d<1	else	DNA exists	b	PWY-6147	 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	core	d:r<1	r:d<1	else	DNA exists	b	COA-PWY-1	 superpathway of coenzyme A biosynthesis III (mammals)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	coenzyme A biosynthesis II (mammalian)
PWY-6151: S-adenosyl-L-methionine salvage I	PWY-6151: S-adenosyl-L-methionine salvage I	core	d:r<1	r:d<1	else	DNA exists	b	PWY-6151	 S-adenosyl-L-methionine salvage I	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	S-adenosyl-L-methionine cycle I
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	core	other	r:d<1	else	DNA exists	b	PANTOSYN-PWY	 superpathway of coenzyme A biosynthesis I (bacteria)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	pantothenate and coenzyme A biosynthesis I
PANTO-PWY: phosphopantothenate biosynthesis I	PANTO-PWY: phosphopantothenate biosynthesis I	core	other	r:d<1	else	DNA exists	b	PANTO-PWY	 phosphopantothenate biosynthesis I	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	phosphopantothenate biosynthesis I
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	core	other	r:d<1	else	DNA exists	b	PYRIDNUCSYN-PWY	 NAD de novo biosynthesis I (from aspartate)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	NAD biosynthesis I (from aspartate)
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	core	other	r:d<1	else	DNA exists	b	FASYN-INITIAL-PWY	 superpathway of fatty acid biosynthesis initiation (E. coli)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of fatty acid biosynthesis initiation (E. coli)
PWY-5667: CDP-diacylglycerol biosynthesis I	PWY-5667: CDP-diacylglycerol biosynthesis I	core	other	r:d<1	else	DNA exists	b	PWY-5667	 CDP-diacylglycerol biosynthesis I	Biosynthesis	Fatty Acid and Lipid Biosynthesis	CDP-diacylglycerol biosynthesis I
PWY0-1319: CDP-diacylglycerol biosynthesis II	PWY0-1319: CDP-diacylglycerol biosynthesis II	core	other	r:d<1	else	DNA exists	b	PWY0-1319	 CDP-diacylglycerol biosynthesis II	Biosynthesis	Fatty Acid and Lipid Biosynthesis	CDP-diacylglycerol biosynthesis II
PWY-7111: pyruvate fermentation to isobutanol (engineered)	PWY-7111: pyruvate fermentation to isobutanol (engineered)	core	other	r:d<1	else	DNA exists	b	PWY-7111	 pyruvate fermentation to isobutanol (engineered)	Generation of Precursor Metabolites and Energy	Fermentation	pyruvate fermentation to isobutanol (engineered)
PWY-6700: queuosine biosynthesis I (de novo)	PWY-6700: queuosine biosynthesis I (de novo)	core	d:r<1	r:d<1	else	DNA exists	b	PWY-6700	 queuosine biosynthesis I (de novo)	Macromolecule Modification	Nucleic Acid Processing	queuosine biosynthesis
PWY-5686: UMP biosynthesis I	PWY-5686: UMP biosynthesis I	core	other	r:d<1	else	DNA exists	b	PWY-5686	 UMP biosynthesis I	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	UMP biosynthesis
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	core	d:r<1	r:d<1	else	DNA exists	b	PWY-6122	 5-aminoimidazole ribonucleotide biosynthesis II	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	5-aminoimidazole ribonucleotide biosynthesis II
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	core	d:r<1	r:d<1	else	DNA exists	b	PWY-6277	 superpathway of 5-aminoimidazole ribonucleotide biosynthesis	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of 5-aminoimidazole ribonucleotide biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	core	other	r:d<1	else	DNA exists	b	PWY-6121	 5-aminoimidazole ribonucleotide biosynthesis I	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	5-aminoimidazole ribonucleotide biosynthesis I
PWY-7199: pyrimidine deoxyribonucleosides salvage	PWY-7199: pyrimidine deoxyribonucleosides salvage	core	other	r:d<1	else	DNA exists	b	PWY-7199	 pyrimidine deoxyribonucleosides salvage	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleosides salvage
PWY-6703: preQ0 biosynthesis	PWY-6703: preQ0 biosynthesis	core	d:r<1	r:d<1	else	DNA exists	b	PWY-6703	 preQ0 biosynthesis	Biosynthesis	Secondary Metabolite Biosynthesis	preQ0 biosynthesis
NONMEVIPP-PWY: methylerythritol phosphate pathway I	NONMEVIPP-PWY: methylerythritol phosphate pathway I	core	other	r:d<1	else	DNA exists	b	NONMEVIPP-PWY	 methylerythritol phosphate pathway I	Biosynthesis	Secondary Metabolite Biosynthesis	methylerythritol phosphate pathway I
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	GOLPDLCAT-PWY	 superpathway of glycerol degradation to 1,3-propanediol	Degradation/Utilization/Assimilation	Alcohol Degradation	superpathway of glycerol degradation to 1,3-propanediol
METHGLYUT-PWY: superpathway of methylglyoxal degradation	METHGLYUT-PWY: superpathway of methylglyoxal degradation	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	METHGLYUT-PWY	 superpathway of methylglyoxal degradation	Degradation/Utilization/Assimilation	Aldehyde Degradation	superpathway of methylglyoxal degradation
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	ARG+POLYAMINE-SYN	 superpathway of arginine and polyamine biosynthesis	Biosynthesis	Amine and Polyamine Biosynthesis	superpathway of arginine and polyamine biosynthesis
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	POLYAMINSYN3-PWY	 superpathway of polyamine biosynthesis II	Biosynthesis	Amine and Polyamine Biosynthesis	superpathway of polyamine biosynthesis II
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	POLYAMSYN-PWY	 superpathway of polyamine biosynthesis I	Biosynthesis	Amine and Polyamine Biosynthesis	superpathway of polyamine biosynthesis I
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	GLCMANNANAUT-PWY	 superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation
