cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
12	Adenosine Diphosphate Ribose	01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011];99988 Secondary metabolism	0.0032969140476448223
13	Docosahexaenoic acid;Arachidonic acid;cis-7,10,13,16-Docosatetraenoic acid;5(Z),8(Z),11(Z)-Eicosatrienoic Acid;all-cis-4,7,10,13,16-Docosapentaenoic acid	00121 Secondary bile acid biosynthesis [PATH:ko00121];04146 Peroxisome [PATH:ko04146]	0.0032969140476448223
14	2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.0032969140476448223
15	N-Acetylglutamate;N-Methylglutamate	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.0038063321715515394
16	2-Phosphoglycerate;Phosphoserine	03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown;02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.004017483572531855
17	5-Deoxyadenosine;Adenine;Adenosine	02060 Phosphotransferase system (PTS) [PATH:ko02060];03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown;02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.0040321866247534635
18	Glucuronolactone;N-Acetylglycine;3-(4-Hydroxyphenyl)Pyruvate;Tartrate;Glycolate;3-Hydroxybenzaldehyde;4-Hydroxybenzaldehyde	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.005177529867216966
19	Sn-Glycero-3-Phosphocholine;Creatine;Glycocholate	01008 Polyketide biosynthesis proteins [BR:ko01008]	0.006180893326696175
20	Glutarate	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.006199359995320329
21	6-Carboxyhexanoate;Pyridoxine	00680 Methane metabolism [PATH:ko00680]	0.006199359995320329
22	3 Hydroxybenzyl Alcohol;Glucuronolactone;N-Acetylglycine;3-(4-Hydroxyphenyl)Pyruvate;Tartrate;Glycolate;3-Hydroxybenzaldehyde;4-Hydroxybenzaldehyde	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.007068286688976385
23	Methyl 4-Aminobutyrate;Dimethylglycine;trans,trans-Muconic acid;Methylmalonate;P-Octopamine	02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.007068286688976385
24	Sn-Glycero-3-Phosphocholine;Creatine;Glycocholate	99983 Lipid metabolism	0.007988398711663557
25	N-Acetylglycine;3-(4-Hydroxyphenyl)Pyruvate;Tartrate;Glycolate;3-Hydroxybenzaldehyde;4-Hydroxybenzaldehyde	02060 Phosphotransferase system (PTS) [PATH:ko02060];03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown;02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.007988398711663557
26	Heptanoic acid;Nonanoic acid;Octanoic acid;Methyl Vanillate;Oxalate;trans-3-Hexenoic acid;Glycerol;2-Methylmaleate;3-Dehydroshikimate;Maleate;Acetoacetate;Phenylpyruvate;Diethyl 2-Methyl-3-Oxosuccinate;10-Hydroxydecanoic acid;3-Hydroxyoctanoic acid;10-HAD;2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid;Decanoic acid;Tridecanoic acid	00190 Oxidative phosphorylation [PATH:ko00190];03018 RNA degradation [PATH:ko03018]	0.007988398711663557
27	2-Methylmaleate;3-Dehydroshikimate	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.007988398711663557
28	S-Adenosyl-L-methionine	02026 Biofilm formation - Escherichia coli [PATH:ko02026];01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011];99988 Secondary metabolism	0.007988398711663557
29	Hypoxanthine	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.007988398711663557
30	3 Hydroxybenzyl Alcohol;Glucuronolactone;N-Acetylglycine;3-(4-Hydroxyphenyl)Pyruvate;Tartrate;Glycolate;3-Hydroxybenzaldehyde;4-Hydroxybenzaldehyde	03016 Transfer RNA biogenesis [BR:ko03016];00190 Oxidative phosphorylation [PATH:ko00190];03018 RNA degradation [PATH:ko03018]	0.008135987787638448
31	Methyl Vanillate;Oxalate	03400 DNA repair and recombination proteins [BR:ko03400];99977 Transport;00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908];04974 Protein digestion and absorption [PATH:ko04974];00510 N-Glycan biosynthesis [PATH:ko00510];04080 Neuroactive ligand-receptor interaction [PATH:ko04080];01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.008135987787638448
32	Carnitine	99998 Others;01008 Polyketide biosynthesis proteins [BR:ko01008];99983 Lipid metabolism;05100 Bacterial invasion of epithelial cells [PATH:ko05100];01004 Lipid biosynthesis proteins [BR:ko01004];00710 Carbon fixation in photosynthetic organisms [PATH:ko00710];00965 Betalain biosynthesis [PATH:ko00965];00194 Photosynthesis proteins [BR:ko00194];00364 Fluorobenzoate degradation [PATH:ko00364];00633 Nitrotoluene degradation [PATH:ko00633];01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053];05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.008135987787638448
33	S-Adenosyl-L-methionine	00310 Lysine degradation [PATH:ko00310];00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	0.008135987787638448
34	Glucosamine-6-Phosphate;Ribose phosphate;DHAP;Glyceraldehyde 3-phosphate;Sedoheptulose-7-phosphate;Fructose-6-phosphate;Galactose 1-Phosphate;Glucose 6-Phosphate	01004 Lipid biosynthesis proteins [BR:ko01004]	0.008172955182202717
35	AMP	03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown;02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.008172955182202717
36	Itaconate	03029 Mitochondrial biogenesis [BR:ko03029];99981 Carbohydrate metabolism;00785 Lipoic acid metabolism [PATH:ko00785];04013 MAPK signaling pathway - fly [PATH:ko04013];00540 Lipopolysaccharide biosynthesis [PATH:ko00540];99999 Others;00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130];99992 Structural proteins;00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630];00790 Folate biosynthesis [PATH:ko00790]	0.008172955182202717
37	Methyl 4-Aminobutyrate;Dimethylglycine;trans,trans-Muconic acid;Methylmalonate;P-Octopamine	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.008172955182202717
38	Heptanoic acid;Nonanoic acid;Octanoic acid;Methyl Vanillate;Oxalate;trans-3-Hexenoic acid;Glycerol;2-Methylmaleate;3-Dehydroshikimate;Maleate;Acetoacetate;Phenylpyruvate;Diethyl 2-Methyl-3-Oxosuccinate;10-Hydroxydecanoic acid;3-Hydroxyoctanoic acid;10-HAD;2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid;Decanoic acid;Tridecanoic acid;Azelate;Sorbate;3-Methoxy-4-Hydroxymandelate;3-Methylglutaconate	02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.008172955182202717
39	Decanoic acid	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.008172955182202717
40	Diethanolamine	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.008172955182202717
41	Cytidine	01008 Polyketide biosynthesis proteins [BR:ko01008]	0.008172955182202717
42	Cytidine	04146 Peroxisome [PATH:ko04146]	0.008172955182202717
43	Trigonelline	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630];00790 Folate biosynthesis [PATH:ko00790]	0.008172955182202717
44	D-Pinitol	00625 Chloroalkane and chloroalkene degradation [PATH:ko00625]	0.008189467286190926
45	N-Methylglutamate	01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040]	0.008391796834658762
46	Xanthurenate;4-Aminobenzoate;Biotin	00190 Oxidative phosphorylation [PATH:ko00190];03018 RNA degradation [PATH:ko03018]	0.008391796834658762
47	Epinephrine	02060 Phosphotransferase system (PTS) [PATH:ko02060];03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown;02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.008391796834658762
48	Nonanoic acid	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.008391796834658762
49	Carnitine	00071 Fatty acid degradation [PATH:ko00071]	0.008391796834658762
50	Cytidine	00071 Fatty acid degradation [PATH:ko00071];01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040]	0.008391796834658762
51	2 Deoxy D Glucose	99976 Replication and repair	0.008426646088986557
52	Itaconate;Methyl 4-Aminobutyrate;Dimethylglycine;trans,trans-Muconic acid;Methylmalonate;P-Octopamine	03420 Nucleotide excision repair [PATH:ko03420]	0.008920382986164356
53	trans-3-Hexenoic acid;Glycerol;2-Methylmaleate;3-Dehydroshikimate;Maleate;Acetoacetate;Phenylpyruvate;Diethyl 2-Methyl-3-Oxosuccinate;10-Hydroxydecanoic acid;3-Hydroxyoctanoic acid;10-HAD;2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid;Decanoic acid;Tridecanoic acid	00785 Lipoic acid metabolism [PATH:ko00785];04013 MAPK signaling pathway - fly [PATH:ko04013]	0.009036562577089902
54	Adenosine Diphosphate Ribose	00710 Carbon fixation in photosynthetic organisms [PATH:ko00710];00965 Betalain biosynthesis [PATH:ko00965];00194 Photosynthesis proteins [BR:ko00194];00364 Fluorobenzoate degradation [PATH:ko00364];00633 Nitrotoluene degradation [PATH:ko00633];01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053];05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.009350466738971637
55	2 Deoxy D Glucose;2-Acetamido-2-Deoxy-Beta-D-Glucosylamine	03032 DNA replication proteins [BR:ko03032]	0.009350466738971637
56	acetyl-carnitine	02026 Biofilm formation - Escherichia coli [PATH:ko02026];01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011];99988 Secondary metabolism	0.009520419398538118
57	Succinic Acid	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	0.009520419398538118
58	10-HAD;2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid	00510 N-Glycan biosynthesis [PATH:ko00510];04080 Neuroactive ligand-receptor interaction [PATH:ko04080];01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.009520419398538118
59	Cytidine	99994 Others	0.009520419398538118
60	Cytidine	01004 Lipid biosynthesis proteins [BR:ko01004]	0.009520419398538118
61	Homocysteine;Trigonelline	00510 N-Glycan biosynthesis [PATH:ko00510];04080 Neuroactive ligand-receptor interaction [PATH:ko04080];01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.00973649897436592
62	3 Hydroxybenzyl Alcohol;Glucuronolactone;N-Acetylglycine;3-(4-Hydroxyphenyl)Pyruvate;Tartrate;Glycolate;3-Hydroxybenzaldehyde;4-Hydroxybenzaldehyde	00785 Lipoic acid metabolism [PATH:ko00785];04013 MAPK signaling pathway - fly [PATH:ko04013]	0.009819093743924609
63	Sn-Glycero-3-Phosphocholine	03029 Mitochondrial biogenesis [BR:ko03029];99981 Carbohydrate metabolism;00785 Lipoic acid metabolism [PATH:ko00785];04013 MAPK signaling pathway - fly [PATH:ko04013];00540 Lipopolysaccharide biosynthesis [PATH:ko00540];99999 Others;00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130];99992 Structural proteins;00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630];00790 Folate biosynthesis [PATH:ko00790]	0.010182494222360023
64	Sn-Glycero-3-Phosphocholine	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.010182494222360023
65	Cytidine	00440 Phosphonate and phosphinate metabolism [PATH:ko00440];04122 Sulfur relay system [PATH:ko04122];03110 Chaperones and folding catalysts [BR:ko03110];99996 General function prediction only	0.010182494222360023
66	Glucosamine-6-Phosphate;Ribose phosphate;DHAP;Glyceraldehyde 3-phosphate;Sedoheptulose-7-phosphate;Fructose-6-phosphate;Galactose 1-Phosphate;Glucose 6-Phosphate	01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040]	0.01027459612138619
67	Creatine;Glycocholate	00965 Betalain biosynthesis [PATH:ko00965];00194 Photosynthesis proteins [BR:ko00194];00364 Fluorobenzoate degradation [PATH:ko00364];00633 Nitrotoluene degradation [PATH:ko00633];01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053];05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.01027459612138619
68	Glucuronolactone	02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.01027459612138619
69	Cytidine	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	0.01027459612138619
70	Sn-Glycero-3-Phosphocholine;Creatine;Glycocholate	99998 Others	0.010566876018286505
71	Myo-Inositol;Xanthine	03018 RNA degradation [PATH:ko03018]	0.010566876018286505
72	Pyridoxine	00785 Lipoic acid metabolism [PATH:ko00785];04013 MAPK signaling pathway - fly [PATH:ko04013]	0.010867192923429494
73	Carnitine	01003 Glycosyltransferases [BR:ko01003]	0.010867192923429494
74	Methyl 4-Aminobutyrate;Dimethylglycine;trans,trans-Muconic acid;Methylmalonate;P-Octopamine	00190 Oxidative phosphorylation [PATH:ko00190]	0.010967182842011586
75	Heptanoic acid;Nonanoic acid;Octanoic acid;Methyl Vanillate;Oxalate;trans-3-Hexenoic acid;Glycerol;2-Methylmaleate;3-Dehydroshikimate;Maleate;Acetoacetate;Phenylpyruvate;Diethyl 2-Methyl-3-Oxosuccinate;10-Hydroxydecanoic acid;3-Hydroxyoctanoic acid;10-HAD;2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid;Decanoic acid;Tridecanoic acid;Azelate;Sorbate;3-Methoxy-4-Hydroxymandelate;3-Methylglutaconate	00680 Methane metabolism [PATH:ko00680]	0.011740625006229917
76	2-Hydroxy-4-(Methylthio)Butyric Acid;3-(2-Hydroxyphenyl)Propanoate;2-Hydroxyisocaproic acid;Beta-hydroxyvaleric Acid	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	0.011755223221578107
77	Inosine	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.011755223221578107
78	Uridine	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.011916267698136954
79	10-HAD;2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid	03400 DNA repair and recombination proteins [BR:ko03400]	0.012080050975937312
80	Itaconate	03400 DNA repair and recombination proteins [BR:ko03400]	0.012195776852172109
81	Methyl 4-Aminobutyrate;Dimethylglycine;trans,trans-Muconic acid;Methylmalonate;P-Octopamine	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.012195776852172109
82	Nonanoic acid	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.012195776852172109
83	N-Acetylglutamate;N-Methylglutamate	00194 Photosynthesis proteins [BR:ko00194]	0.012355235564742448
84	3-Hydroxyoctanoic acid	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.012355235564742448
85	Fructose	03021 Transcription machinery [BR:ko03021]	0.012476794860600928
86	Butyric acid	00310 Lysine degradation [PATH:ko00310];00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	0.0125419128802306
87	Biotin	03016 Transfer RNA biogenesis [BR:ko03016]	0.012760960103184596
88	Acetoacetate;Phenylpyruvate	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.012975051860760967
89	Tyramine	03021 Transcription machinery [BR:ko03021]	0.01305431096096251
90	S-Adenosyl-L-methionine	01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053];05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.01305431096096251
91	Cytidine;Xanthosine;Uridine;Guanosine;Inosine	02022 Two-component system [BR:ko02022]	0.013247426650024182
92	Adenosine Diphosphate Ribose	01004 Lipid biosynthesis proteins [BR:ko01004]	0.013393479043415113
93	N-Methylglutamate	05100 Bacterial invasion of epithelial cells [PATH:ko05100]	0.013393479043415113
94	2-Deoxy-D-Glucose 6-phosphate	00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908];04974 Protein digestion and absorption [PATH:ko04974];00510 N-Glycan biosynthesis [PATH:ko00510];04080 Neuroactive ligand-receptor interaction [PATH:ko04080];01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.013393479043415113
95	3 Hydroxybenzyl Alcohol	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.013393479043415113
96	Maleate;Acetoacetate;Phenylpyruvate;Diethyl 2-Methyl-3-Oxosuccinate;10-Hydroxydecanoic acid;3-Hydroxyoctanoic acid	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.013393479043415113
97	Cystathionine	00311 Penicillin and cephalosporin biosynthesis [PATH:ko00311]	0.013817742711147399
98	Biotin	03400 DNA repair and recombination proteins [BR:ko03400]	0.013817742711147399
99	Tridecanoic acid	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.013917672359122092
100	Glucosamine-6-Phosphate;Ribose phosphate;DHAP;Glyceraldehyde 3-phosphate;Sedoheptulose-7-phosphate;Fructose-6-phosphate;Galactose 1-Phosphate;Glucose 6-Phosphate	05100 Bacterial invasion of epithelial cells [PATH:ko05100]	0.014317271125327581
101	5(Z),8(Z),11(Z)-Eicosatrienoic Acid;all-cis-4,7,10,13,16-Docosapentaenoic acid	03021 Transcription machinery [BR:ko03021]	0.014317271125327581
102	3 Hydroxybenzyl Alcohol;Glucuronolactone;N-Acetylglycine;3-(4-Hydroxyphenyl)Pyruvate;Tartrate;Glycolate;3-Hydroxybenzaldehyde;4-Hydroxybenzaldehyde	00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908]	0.014317271125327581
103	Guaiacol	02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.014317271125327581
104	Cytidine	00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	0.014317271125327581
105	Pyridoxine	03400 DNA repair and recombination proteins [BR:ko03400];99977 Transport;00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908];04974 Protein digestion and absorption [PATH:ko04974];00510 N-Glycan biosynthesis [PATH:ko00510];04080 Neuroactive ligand-receptor interaction [PATH:ko04080];01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.014686889251594459
106	Suberate	03400 DNA repair and recombination proteins [BR:ko03400];99977 Transport	0.014838523005529798
107	S-Adenosyl-L-methionine	00071 Fatty acid degradation [PATH:ko00071];01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040]	0.014838523005529798
108	Adenosine Diphosphate Ribose	00310 Lysine degradation [PATH:ko00310];00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	0.015029017484573175
109	Diethyl 2-Methyl-3-Oxosuccinate;10-Hydroxydecanoic acid;3-Hydroxyoctanoic acid	03400 DNA repair and recombination proteins [BR:ko03400]	0.015029017484573175
110	Tridecanoic acid	03400 DNA repair and recombination proteins [BR:ko03400]	0.015029017484573175
111	3,4-Dihydroxybenzoate	03400 DNA repair and recombination proteins [BR:ko03400]	0.015029017484573175
112	acetyl-carnitine	00071 Fatty acid degradation [PATH:ko00071];01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040]	0.015126220680689728
113	Glucosamine-6-Phosphate;Ribose phosphate;DHAP;Glyceraldehyde 3-phosphate;Sedoheptulose-7-phosphate;Fructose-6-phosphate;Galactose 1-Phosphate;Glucose 6-Phosphate	05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.01523424436775256
114	Maleate	03400 DNA repair and recombination proteins [BR:ko03400];99977 Transport;00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908];04974 Protein digestion and absorption [PATH:ko04974];00510 N-Glycan biosynthesis [PATH:ko00510];04080 Neuroactive ligand-receptor interaction [PATH:ko04080];01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.015255642851410383
115	Sorbate;3-Methoxy-4-Hydroxymandelate;3-Methylglutaconate	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.015255642851410383
116	Creatine	05100 Bacterial invasion of epithelial cells [PATH:ko05100]	0.015433708862913936
117	Methyl Vanillate;Oxalate	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.015676667639255765
118	2-Deoxy-D-Glucose 6-phosphate	02060 Phosphotransferase system (PTS) [PATH:ko02060];03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown;02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.015886643247183096
119	Decanoic acid	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.01598481673944433
120	Butyric acid	01005 Lipopolysaccharide biosynthesis proteins [BR:ko01005];04138 Autophagy - yeast [PATH:ko04138]	0.016464307036102986
121	Glucuronolactone	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.016494158549190566
122	Sn-Glycero-3-Phosphocholine;Creatine;Glycocholate	00310 Lysine degradation [PATH:ko00310];00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572];00121 Secondary bile acid biosynthesis [PATH:ko00121];04146 Peroxisome [PATH:ko04146]	0.01654165210596116
123	Adenosine Diphosphate Ribose	01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040]	0.016715236506715622
124	Methionine Sulfoximine	02022 Two-component system [BR:ko02022];03021 Transcription machinery [BR:ko03021]	0.016715236506715622
125	Sn-Glycero-3-Phosphocholine	03400 DNA repair and recombination proteins [BR:ko03400]	0.016715236506715622
126	Thiopurine S-Methylether	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630];00790 Folate biosynthesis [PATH:ko00790]	0.016715236506715622
127	Sorbate;3-Methoxy-4-Hydroxymandelate;3-Methylglutaconate	00190 Oxidative phosphorylation [PATH:ko00190];03018 RNA degradation [PATH:ko03018]	0.016715236506715622
128	10-HAD;2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid;Decanoic acid;Tridecanoic acid	03420 Nucleotide excision repair [PATH:ko03420]	0.01674149288076547
129	Linoleic acid;Oleic acid	00625 Chloroalkane and chloroalkene degradation [PATH:ko00625]	0.016852694220990085
130	Maleamate	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.0172284881171414
131	Adenosine Diphosphate Ribose	00071 Fatty acid degradation [PATH:ko00071]	0.017229941703644697
132	N-Methylglutamate	01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011];99988 Secondary metabolism	0.017229941703644697
133	Arachidonic acid	01008 Polyketide biosynthesis proteins [BR:ko01008]	0.017229941703644697
134	Suberate	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.017229941703644697
135	Maleate	03036 Chromosome and associated proteins [BR:ko03036]	0.017229941703644697
